piRNA Transcript	Transposon	Number of Mismatches
H12I19.11	TURMOIL2	5
H12I19.25	LINE2F	5
H12I19.36	WBT00000084	5
H12I19.38	CEMUDR2	5
H12I19.38	CER3-I	5
H16O14.36	MIRAGE1	5
H16O14.39	CER2-I	5
H25K10.115	MAR	5
H25K10.25	Tc1A	5
H25K10.25	WBT00000416	5
H25K10.30	WBT00000598	5
H25K10.39	CER9-I	5
H25K10.49	Tc6	5
H25K10.8	Tc1	5
H25K10.84	LINE2G	5
H25K10.86	TURMOIL2	5
H25K10.86	WBT00000637	5
H25K10.87	Tc6	5
H32C10.37	WBT00000637	5
H34C03.10	LINE2E	5
K01G12.13	HELITRONY1A	5
K01G12.20	WBT00000416	5
K02B2.28	WBT00000627	5
K02B2.29	WBT00000736	5
K02B2.31	WBT00000627	5
K08B4.11	WBT00000718	5
K08B4.39	WBT00000700	5
K09C8.10	HELITRONY1A	5
LLC1.15	LINE2C	5
LLC1.15	MAR	5
LLC1.30	WBT00000428	5
LLC1.6	WBT00000416	5
M03D4.48	WBT00000700	5
M03D4.61	NDNAX3	5
M03D4.64	Tc1	5
M199.118	TIR43YW1	5
M199.74	WBT00000700	5
M199.85	WBT00000275	5
R05A10.57	Tc1	5
R05A10.67	Tc9	5
R05A10.67	WBT00000416	5
R05A10.79	Tc4v	5
R06A10.6	CER15-I	5
R07B7.18	WBT00000046	5
T01D3.8	CER8-I	5
T06A10.16	LINE2D	5
T06A10.23	LINE2D	5
T06A10.45	TIR43YW1	5
T06A10.53	Chapaev-1	5
T06A10.59	WBT00000637	5
T06A10.72	CER9-I	5
T08B6.11	Tc1	5
T08B6.28	LINE2C	5
T11F8.9	CELE46B	5
T12E12.16	WBT00000642	5
T13A10.29	LINE2C1	5
T13A10.29	Merlin1m	5
T13A10.41	WBT00000637	5
T19E7.20	CER8-I	5
T23G4.61	TIR43YW1	5
T23G4.63	CER2-I	5
T23G4.86	Chapaev-2	5
T27E7.36	CER9-I	5
T27E7.42	CER9-I	5
VY10G11R.40	WBT00000590	5
VY10G11R.45	MARINER3	5
VY10G11R.48	CER8-I	5
VY10G11R.6	WBT00000046	5
VY10G11R.68	Tc9	5
W03F8.38	WBT00000637	5
W03F8.41	WBT00000618	5
W03F8.47	Tc5	5
W03F8.59	WBT00000718	5
Y105C5A.1035	LINE2G	5
Y105C5A.104	WBT00000074	5
Y105C5A.1056	CELE46A	5
Y105C5A.1072	TURMOIL1	5
Y105C5A.1088	CER15-1-I	5
Y105C5A.1091	Merlin1m	5
Y105C5A.1091	NDNAX2	5
Y105C5A.1091	WBT00000046	5
Y105C5A.1115	Tc5	5
Y105C5A.1125	CER15-1-I	5
Y105C5A.1154	MAR	5
Y105C5A.1156	NeSL-1	5
Y105C5A.1172	TURMOIL2	5
Y105C5A.1193	HELITRONY2	5
Y105C5A.1207	WBT00000634	5
Y105C5A.1210	CER12-I	5
Y105C5A.1221	Chapaev-1	5
Y105C5A.1248	WBT00000416	5
Y105C5A.1265	WBT00000634	5
Y105C5A.156	CELETC2	5
Y105C5A.156	WBT00000600	5
Y105C5A.217	WBT00000700	5
Y105C5A.231	Tc2	5
Y105C5A.237	MIRAGE1	5
Y105C5A.258	WBT00000634	5
Y105C5A.277	Tc5	5
Y105C5A.280	WBT00000634	5
Y105C5A.384	CER12-I	5
Y105C5A.396	CER1	5
Y105C5A.466	WBT00000416	5
Y105C5A.481	WBT00000134	5
Y105C5A.499	LONGPAL1	5
Y105C5A.507	Chapaev-2	5
Y105C5A.535	LINE2F	5
Y105C5A.536	CER1	5
Y105C5A.548	WBT00000714	5
Y105C5A.562	CER1	5
Y105C5A.564	WBT00000714	5
Y105C5A.585	NeSL-1	5
Y105C5A.586	CEMUDR2	5
Y105C5A.586	TURMOIL1	5
Y105C5A.588	PALTA2	5
Y105C5A.600	Tc6	5
Y105C5A.603	CER9-I	5
Y105C5A.708	TURMOIL1	5
Y105C5A.758	LONGPAL1	5
Y105C5A.763	PALTTTAAA3	5
Y105C5A.783	NeSL-1	5
Y105C5A.787	TURMOIL1	5
Y105C5A.808	CER12-I	5
Y105C5A.811	Chapaev-1	5
Y105C5A.836	WBT00000634	5
Y105C5A.860	WBT00000600	5
Y105C5A.862	WBT00000047	5
Y105C5A.864	HELITRON1	5
Y105C5A.864	HELITRONY1A	5
Y105C5A.867	Tc5	5
Y105C5A.877	WBT00000416	5
Y105C5A.88	Tc5	5
Y105C5A.925	NeSL-1	5
Y105C5A.939	LINE2D	5
Y105C5A.948	Chapaev-1	5
Y105C5A.955	Tc5	5
Y105C5A.962	Tc5B	5
Y105C5A.970	Vingi-1	5
Y105C5A.975	MAR	5
Y105C5A.983	PALTTTAAA3	5
Y105C5B.1016	LINE2C	5
Y105C5B.1019	CER7-I	5
Y105C5B.1019	WBT00000714	5
Y105C5B.1022	MARINCE1	5
Y105C5B.1047	WBT00000637	5
Y105C5B.1050	CER13-I	5
Y105C5B.1050	CER13-LTR	5
Y105C5B.1065	WBT00000047	5
Y105C5B.1093	LINE2F	5
Y105C5B.1094	CER15-1-I	5
Y105C5B.1094	CER2-I	5
Y105C5B.1094	NDNAX2	5
Y105C5B.1094	Tc1A	5
Y105C5B.1097	CER1	5
Y105C5B.110	WBT00000662	5
Y105C5B.1106	CER15-1-I	5
Y105C5B.111	CER10-I	5
Y105C5B.1118	CER5-I	5
Y105C5B.1131	WBT00000637	5
Y105C5B.1141	CER9-I	5
Y105C5B.1169	LINE2C	5
Y105C5B.1180	WBT00000201	5
Y105C5B.1249	MAR	5
Y105C5B.1277	WBT00000588	5
Y105C5B.1291	TURMOIL1	5
Y105C5B.1316	CER1	5
Y105C5B.134	MARINCE1	5
Y105C5B.1341	WBT00000637	5
Y105C5B.135	WBT00000212	5
Y105C5B.1358	NDNAX3	5
Y105C5B.1358	Tc5	5
Y105C5B.1361	CER15-I	5
Y105C5B.158	TURMOIL1	5
Y105C5B.168	MARINER5	5
Y105C5B.181	WBT00000637	5
Y105C5B.183	MARINER3	5
Y105C5B.275	CER5-I	5
Y105C5B.297	TIR23T5A	5
Y105C5B.331	MIRAGE1	5
Y105C5B.347	HELITRON2	5
Y105C5B.38	Chapaev-1	5
Y105C5B.390	WBT00000598	5
Y105C5B.462	HELITRONY1	5
Y105C5B.583	WBT00000690	5
Y105C5B.593	WBT00000598	5
Y105C5B.610	MARINER3	5
Y105C5B.628	CER1	5
Y105C5B.631	WBT00000046	5
Y105C5B.679	MARINER3	5
Y105C5B.703	LINE2C	5
Y105C5B.712	Chapaev-2	5
Y105C5B.712	LINE2G	5
Y105C5B.718	TIR43YW1	5
Y105C5B.724	LINE2E	5
Y105C5B.728	WBT00000047	5
Y105C5B.748	CER3-I	5
Y105C5B.761	NDNAX3	5
Y105C5B.761	Tc5	5
Y105C5B.762	Chapaev-2	5
Y105C5B.762	Tc4v	5
Y105C5B.800	PAL8D	5
Y105C5B.814	MARINCE1	5
Y105C5B.819	Tc4v	5
Y105C5B.843	WBT00000637	5
Y105C5B.869	WBT00000598	5
Y105C5B.882	PALTA2	5
Y105C5B.889	WBT00000637	5
Y105C5B.929	Tc5A	5
Y105C5B.955	Chapaev-2	5
Y105C5B.955	HELITRON2	5
Y105C5B.973	PALTTTAAA3	5
Y10G11A.15	WBT00000637	5
Y10G11A.49	WBT00000718	5
Y10G11A.71	WBT00000718	5
Y10G11A.76	MIRAGE1	5
Y10G11A.77	HELITRONY4	5
Y10G11A.78	WBT00000637	5
Y10G11A.88	CEMUDR2	5
Y116A8A.105	WBT00000134	5
Y116A8A.110	Chapaev-1	5
Y116A8A.116	CER16-I	5
Y116A8A.117	WBT00000637	5
Y116A8A.128	MARINER3	5
Y116A8A.136	WBT00000047	5
Y116A8A.45	WBT00000598	5
Y116A8A.65	CER10-I	5
Y116A8A.90	PAL9A	5
Y116A8B.34	CER15-I	5
Y116A8B.34	WBT00000700	5
Y116A8B.65	WBT00000628	5
Y116A8B.96	PALTA1	5
Y116A8B.96	WBT00000637	5
Y116A8C.103	CER3-I	5
Y116A8C.180	LINE2F	5
Y116A8C.208	PAL8C_5	5
Y116A8C.245	LINE2F	5
Y116A8C.278	CER8-I	5
Y116A8C.278	Merlin1m	5
Y116A8C.305	CELE45	5
Y116A8C.311	CEMUDR2	5
Y116A8C.311	WBT00000581	5
Y116A8C.313	MARINER3	5
Y116A8C.321	LINE2C	5
Y116A8C.339	MARINER3	5
Y116A8C.339	WBT00000132	5
Y116A8C.364	WBT00000718	5
Y116A8C.391	WBT00000637	5
Y116A8C.405	WBT00000134	5
Y116A8C.415	CER15-1-I	5
Y116A8C.418	MARINER3	5
Y116A8C.418	WBT00000132	5
Y116A8C.425	PAL8B	5
Y116A8C.461	CELE45	5
Y116A8C.69	HELITRON2	5
Y17G9A.34	WBT00000628	5
Y17G9A.64	CEREP1A	5
Y17G9A.64	NDNAX1	5
Y17G9A.67	HELITRONY1A	5
Y37A1A.10	WBT00000718	5
Y37A1A.32	WBT00000598	5
Y37A1A.38	CER7-I	5
Y37A1A.81	CEMUDR1	5
Y37A1A.95	NeSL-1	5
Y37A1B.138	WBT00000637	5
Y37A1B.138	WBT00000719	5
Y37A1B.141	CEMUDR2	5
Y37A1B.158	CER8-I	5
Y37A1B.204	WBT00000046	5
Y37A1B.224	LINE2C	5
Y37A1B.24	WBT00000084	5
Y37A1B.273	HELITRON2	5
Y37A1B.274	TURMOIL2	5
Y37A1B.316	LINE2B	5
Y37A1B.322	NDNAX3	5
Y37A1B.67	TIR9TA1C	5
Y37A1B.92	HELITRON2	5
Y40C5A.13	WBT00000590	5
Y40H7A.198	CER7-I	5
Y40H7A.217	CELE46A	5
Y40H7A.232	CER3-1-LTR	5
Y40H7A.233	PALTTTAAA3	5
Y40H7A.246	CER10-I	5
Y40H7A.246	CER7-I	5
Y40H7A.259	NDNAX2	5
Y40H7A.281	WBT00000047	5
Y40H7A.29	WBT00000757	5
Y40H7A.36	LINE2G	5
Y40H7A.36	WBT00000133	5
Y40H7A.38	LONGPAL1	5
Y40H7A.60	TIR43YW1	5
Y41E3.219	CER1	5
Y41E3.241	WBT00000598	5
Y41E3.252	CEMUDR1	5
Y41E3.299	LINE2G	5
Y41E3.314	WBT00000628	5
Y41E3.361	IR3	5
Y41E3.364	CER16-2-I	5
Y41E3.381	LINE2H	5
Y41E3.417	CER12-I	5
Y41E3.417	CER17-I	5
Y41E3.435	MARINER5	5
Y43D4A.109	NDNAX2	5
Y43D4A.117	CER3-I	5
Y43D4A.117	HELITRON1	5
Y43D4A.123	WBT00000637	5
Y43D4A.124	Tc4v	5
Y43D4A.147	Tc4v	5
Y43D4A.151	CER3-I	5
Y43D4A.151	HELITRON1	5
Y43D4A.160	NDNAX2	5
Y43D4A.50	WBT00000598	5
Y43D4A.57	CER3-I	5
Y43D4A.57	HELITRON1	5
Y43D4A.67	CER15-1-I	5
Y43D4A.92	CER3-I	5
Y43D4A.96	NDNAX2	5
Y45F10B.52	Chapaev-2	5
Y45F10D.115	Chapaev-2	5
Y45F10D.32	CER9-I	5
Y45F10D.76	Chapaev-2	5
Y4C6A.24	Tc5	5
Y4C6A.34	CEMUDR2	5
Y4C6A.38	WBT00000416	5
Y4C6A.39	Tc3	5
Y4C6A.51	WBT00000637	5
Y4C6A.57	MAR	5
Y4C6B.49	HAT1	5
Y4C6B.52	CER10-I	5
Y4C6B.8	NDNAX3	5
Y51H4A.106	PALTTTAAA2	5
Y51H4A.130	LONGPAL1	5
Y51H4A.149	WBT00000416	5
Y51H4A.204	CER7-I	5
Y51H4A.204	WBT00000134	5
Y51H4A.220	WBT00000642	5
Y51H4A.231	Chapaev-1	5
Y51H4A.237	NDNAX2	5
Y51H4A.280	MIRAGE1	5
Y51H4A.308	WBT00000637	5
Y51H4A.317	MIRAGE1	5
Y51H4A.389	WBT00000637	5
Y51H4A.452	Tc5A	5
Y51H4A.50	LINE2G	5
Y51H4A.509	LONGPAL2	5
Y51H4A.537	Tc3	5
Y51H4A.555	PAL9A	5
Y51H4A.579	PAL8C_3	5
Y51H4A.579	PAL8C_4	5
Y51H4A.579	WBT00000134	5
Y51H4A.643	CER13-I	5
Y51H4A.651	WBT00000617	5
Y51H4A.689	Chapaev-2	5
Y51H4A.710	LINE2A	5
Y51H4A.766	TIR43YW1	5
Y51H4A.77	WBT00000637	5
Y51H4A.777	LINE2A	5
Y51H4A.782	TIR23T5A	5
Y51H4A.801	NDNAX2	5
Y51H4A.809	PALTA1	5
Y51H4A.825	MARINER2	5
Y51H4A.827	CER15-1-I	5
Y51H4A.834	WBT00000047	5
Y51H4A.883	MARINER5	5
Y51H4A.898	Tc2	5
Y51H4A.905	WBT00000416	5
Y51H4A.908	NDNAX2	5
Y51H4A.931	WBT00000074	5
Y57G11A.121	CEMUDR2	5
Y57G11A.162	HELITRON1	5
Y57G11A.202	WBT00000644	5
Y57G11A.203	TIR43YW1	5
Y57G11A.203	WBT00000600	5
Y57G11A.42	WBT00000598	5
Y57G11A.51	CER15-I	5
Y57G11A.84	CER13-I	5
Y57G11A.84	TURMOIL1	5
Y57G11A.92	Chapaev-1	5
Y57G11B.113	CER8-I	5
Y57G11B.118	WBT00000203	5
Y57G11B.146	CER8-I	5
Y57G11B.153	CER3-I	5
Y57G11B.192	CER16-I	5
Y57G11B.205	WBT00000599	5
Y57G11B.211	WBT00000074	5
Y57G11C.1032	WBT00000074	5
Y57G11C.1049	MARINER5	5
Y57G11C.1049	WBT00000628	5
Y57G11C.1049	WBT00000637	5
Y57G11C.1050	CEMUDR1	5
Y57G11C.1050	PAL9A	5
Y57G11C.1053	HELITRONY1A	5
Y57G11C.1066	WBT00000416	5
Y57G11C.107	CER16-2-LTR	5
Y57G11C.1092	CER3-I	5
Y57G11C.1092	HELITRON2	5
Y57G11C.1113	Tc6	5
Y57G11C.1117	LINE2D	5
Y57G11C.1117	WBT00000637	5
Y57G11C.116	MAR	5
Y57G11C.125	Chapaev-1	5
Y57G11C.125	WBT00000637	5
Y57G11C.131	CEMUDR2	5
Y57G11C.260	CEMUDR1	5
Y57G11C.260	CER8-I	5
Y57G11C.358	CER15-I	5
Y57G11C.410	WBT00000637	5
Y57G11C.437	WBT00000642	5
Y57G11C.508	MIRAGE1	5
Y57G11C.540	LINE2C	5
Y57G11C.540	WBT00000599	5
Y57G11C.545	PALTTTAAA2	5
Y57G11C.568	WBT00000637	5
Y57G11C.572	Tc9	5
Y57G11C.577	WBT00000599	5
Y57G11C.624	TURMOIL2	5
Y57G11C.629	WBT00000416	5
Y57G11C.644	WBT00000713	5
Y57G11C.66	CEMUDR1	5
Y57G11C.663	CER16-I	5
Y57G11C.693	WBT00000047	5
Y57G11C.694	WBT00000416	5
Y57G11C.697	WBT00000047	5
Y57G11C.710	LONGPAL2	5
Y57G11C.721	CER10-I	5
Y57G11C.721	WBT00000207	5
Y57G11C.724	CEMUDR2	5
Y57G11C.773	WBT00000757	5
Y57G11C.776	MARINER3	5
Y57G11C.793	CER16-2-I	5
Y57G11C.843	WBT00000637	5
Y57G11C.851	CER15-1-I	5
Y57G11C.851	CER15-I	5
Y57G11C.885	CER8-I	5
Y57G11C.905	Tc9	5
Y57G11C.934	Tc9	5
Y57G11C.977	TURMOIL2	5
Y57G11C.984	WBT00000637	5
Y64G10A.116	WBT00000665	5
Y64G10A.133	WBT00000637	5
Y64G10A.149	LINE2C	5
Y64G10A.172	CEMUDR1	5
Y64G10A.199	Tc5A	5
Y64G10A.205	MARINER2	5
Y64G10A.262	Tc6	5
Y64G10A.319	Tc4v	5
Y64G10A.329	Merlin1m	5
Y64G10A.59	PALTA1	5
Y64G10A.84	CER16-2-I	5
Y67A10A.162	WBT00000046	5
Y67A10A.212	MARINER3	5
Y67A10A.220	LINE2H	5
Y67A10A.222	LINE2F	5
Y67A10A.223	WBT00000046	5
Y67A10A.229	Chapaev-2	5
Y67A10A.23	WBT00000637	5
Y67A10A.239	LINE2E	5
Y67A10A.250	NDNAX2	5
Y67A10A.261	CER7-I	5
Y67A10A.268	NDNAX2	5
Y67A10A.271	PAL8C_2	5
Y67A10A.289	TURMOIL1	5
Y67A10A.306	TURMOIL1	5
Y67A10A.311	TURMOIL1	5
Y67A10A.314	WBT00000598	5
Y67A10A.324	WBT00000416	5
Y67A10A.330	HELITRONY4	5
Y67A10A.330	WBT00000047	5
Y67A10A.337	CER2-I	5
Y67A10A.339	WBT00000757	5
Y67A10A.59	TURMOIL1	5
Y67A10A.86	TURMOIL1	5
Y67A10A.90	PALTA2	5
Y67A10A.97	MARINER3	5
Y73B6BL.131	WBT00000588	5
Y73B6BL.163	LINE2C1	5
Y73B6BL.196	CEMUDR2	5
Y73B6BL.198	LINE2C1	5
Y73B6BL.231	LINE2D	5
Y73B6BL.231	MAR	5
Y73B6BL.66	CEMUDR2	5
Y73F8A.1013	CER9-I	5
Y73F8A.1018	CER16-2-I	5
Y73F8A.1018	NDNAX2	5
Y73F8A.1026	WBT00000416	5
Y73F8A.1033	Tc4v	5
Y73F8A.1046	WBT00000637	5
Y73F8A.1053	MIRAGE1	5
Y73F8A.1084	WBT00000134	5
Y73F8A.1084	WBT00000637	5
Y73F8A.1108	CER9-I	5
Y73F8A.1136	WBT00000598	5
Y73F8A.1144	WBT00000637	5
Y73F8A.1151	CER16-I	5
Y73F8A.165	TURMOIL1	5
Y73F8A.170	WBT00000598	5
Y73F8A.193	LINE2B	5
Y73F8A.210	CER16-2-I	5
Y73F8A.214	CER8-I	5
Y73F8A.217	MARINER2	5
Y73F8A.283	Chapaev-1	5
Y73F8A.337	WBT00000598	5
Y73F8A.410	CER10-LTR	5
Y73F8A.45	CER10-I	5
Y73F8A.45	LINE2A	5
Y73F8A.451	Tc5	5
Y73F8A.521	Chapaev-1	5
Y73F8A.548	CER6	5
Y73F8A.598	WBT00000650	5
Y73F8A.607	Tc6	5
Y73F8A.627	CER13-I	5
Y73F8A.650	MARINER5	5
Y73F8A.657	CER2-I	5
Y73F8A.667	PALTA2	5
Y73F8A.681	NDNAX2	5
Y73F8A.691	WBT00000416	5
Y73F8A.703	NDNAX3	5
Y73F8A.748	WBT00000598	5
Y73F8A.781	WBT00000074	5
Y73F8A.796	Chapaev-1	5
Y73F8A.797	CER15-1-I	5
Y73F8A.803	WBT00000637	5
Y73F8A.804	CER13-I	5
Y73F8A.816	CER8-I	5
Y73F8A.838	WBT00000637	5
Y73F8A.859	Tc5	5
Y73F8A.862	WBT00000047	5
Y73F8A.867	WBT00000598	5
Y73F8A.869	WBT00000598	5
Y73F8A.889	WBT00000084	5
Y73F8A.904	CER6	5
Y73F8A.927	CER15-I	5
Y73F8A.990	WBT00000416	5
Y73F8A.995	CER4-I	5
Y7A9A.12	CER13-I	5
Y7A9A.25	CER10-I	5
Y7A9A.57	CELE46B	5
Y7A9A.60	Tc5	5
Y7A9D.14	WBT00000637	5
Y7A9D.24	WBT00000047	5
Y7A9D.24	WBT00000637	5
Y7A9D.37	WBT00000628	5
Y7A9D.52	CER13-I	5
Y9C9A.31	MAR	5
Y9C9A.46	WBT00000637	5
Y9C9A.73	CEMUDR1	5
ZK616.20	CER1	5
ZK616.32	WBT00000416	5
ZK616.35	WBT00000746	5
ZK616.49	Vingi-1	5
ZK822.7	WBT00000084	5
ZK856.17	CER12-LTR	5
ZK897.6	NDNAX3	5
