Chromosome	Chromosome Start	Chromosome End	Transposable Element Name	Orientation
X	16109097	16112508	WBT00000218	+
X	16218971	16219892	WBT00000107	+
X	16231757	16236011	WBT00000012	+
X	16318958	16319068	WBT00000517	-
X	16452823	16455830	WBT00000675	+
X	16618874	16619014	WBT00000455	+
X	16945095	16945190	WBT00000491	+
X	17014010	17015256	WBT00000155	+
X	17031003	17032249	WBT00000156	-
X	17060637	17061884	WBT00000143	+
X	17125677	17127813	WBT00000693	+
X	17169395	17170235	WBT00000623	+
X	17183355	17183506	WBT00000450	+
X	17196332	17197403	WBT00000326	-
X	17238090	17238861	WBT00000712	-
X	17250468	17252638	WBT00000079	-
X	17257152	17270557	WBT00000739	+
X	17299743	17300186	WBT00000279	-
X	17387138	17388053	WBT00000105	+
X	17619977	17622340	WBT00000687	+
X	17639403	17639849	WBT00000426	-
X	17644646	17648937	WBT00000709	-
X	17648666	17649139	WBT00000432	-
X	17665135	17665942	WBT00000710	+
X	17689747	17692423	WBT00000670	-
X	17703854	17707511	WBT00000669	-
