Chromosome	Transposon Position	Transposon	Region	Transcript Name	Gene Name	Biotype	Phenotype	GO Annotation	Number of Strains	Strains
II	3723874	SINE1_CE	CDS	C46E10.2	NA	protein_coding	NA	NA	5	AB1,CB4852,EG4349,PX179,RC301
II	3733202	MARINER2	three_prime_UTR	F12E12.4	bath-31	protein_coding	NA	GO:0005515	5	CX11285,MY16,MY23,PS2025,QG556
II	3738276	IR1_CE	CDS	F12E12.3	NA	protein_coding	NA	NA	25	BRC20067,CB4852,CB4856,CX11292,ED3040,ED3077,GXW1,JU1400,JU1409,JU1440,JU2466,JU2513,JU311,JU642,JU782,JU847,KR314,LKC34,MY10,MY1,NIC3,PB303,QX1791,QX1794,RC301
II	3773651	MARINER2	promoter	T24E12.10	NA	protein_coding	NA	NA	4	ED3005,ED3011,MY18,QX1212
II	3799032	Tc1	CDS	Y8A9A.2	NA	protein_coding	NA	NA	1	CB4851
II	3825003	WBT00000074	three_prime_UTR	F54D10.1	skr-15	protein_coding	slow growth	GO:0006511,GO:0034984	7	CB4853,CB4855,CB4858,CX11254,CX11264,EG4946,QX1793
II	3825330	Tc1	three_prime_UTR	F54D10.1	skr-15	protein_coding	slow growth	GO:0006511,GO:0034984	1	ECA252
II	3880218	Tc2	promoter	C49D10.2	nhr-166	protein_coding	NA	GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0043401,GO:0008270,GO:0043565	1	JU1246
II	3889046	MIRAGE1	promoter	F53C3.10	srh-90	pseudogene	NA	NA	13	BRC20067,CB4852,GXW1,JU1395,JU1409,JU1440,JU311,JU642,JU847,KR314,PB303,RC301,WN2002
II	3896262	Tc1	promoter	F53C3.6	NA	protein_coding	NA	NA	1	QX1211
II	3917403	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	3952823	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	3972461	Tc1	intron	K10G6.9	NA	protein_coding	NA	NA	1	CB4851
II	3999853	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
II	4002902	Tc1	promoter	K07D4.7	ephx-1	protein_coding	maternal sterile	GO:0005089,GO:0035023,GO:0005515,GO:0000003	1	JU360
II	4007669	MARINER2	intron	K07D4.7	ephx-1	protein_coding	maternal sterile	GO:0005089,GO:0035023,GO:0005515,GO:0000003	2	CB4855,QX1233
II	4050006	HELITRON1_CE	promoter	K07D4.1	NA	pseudogene	NA	NA	1	JU1242
II	4091791	CER8-I_CE	promoter	R11F4.1	NA	protein_coding	NA	GO:0004370,GO:0006072,GO:0005975,GO:0016773	4	JU360,JU751,MY18,QX1212
II	4094257	Tc1	three_prime_UTR	R11F4.1	NA	protein_coding	NA	GO:0004370,GO:0006072,GO:0005975,GO:0016773	2	CB4851,ECA252
II	4135161	HAT1_CE	promoter	T08H4.3	ast-1	protein_coding	larval arrest,embryonic lethal,larval lethal	GO:0007411,GO:0007413,GO:0045944,GO:0071542,GO:0003700,GO:0006355,GO:0043565,GO:0002119,GO:0002119,GO:0009792,GO:0018991,GO:0002119,GO:0002119	1	QX1211
II	4135335	HAT1_CE	promoter	T08H4.3	ast-1	protein_coding	larval arrest,embryonic lethal,larval lethal	GO:0007411,GO:0007413,GO:0045944,GO:0071542,GO:0003700,GO:0006355,GO:0043565,GO:0002119,GO:0002119,GO:0009792,GO:0018991,GO:0002119,GO:0002119	2	JU1530,RC301
II	4135530	HAT1_CE	promoter	T08H4.3	ast-1	protein_coding	larval arrest,embryonic lethal,larval lethal	GO:0007411,GO:0007413,GO:0045944,GO:0071542,GO:0003700,GO:0006355,GO:0043565,GO:0002119,GO:0002119,GO:0009792,GO:0018991,GO:0002119,GO:0002119	2	EG4347,JU1088
II	4154516	Tc1	promoter	R03H10.2	NA	protein_coding	NA	NA	1	CB4851
II	4169534	Tc1	promoter	R03H10.4	NA	protein_coding	NA	GO:0019915,GO:0019915	6	ED3040,ED3046,EG4347,JU1409,QG536,RC301
II	4178866	HELITRON1_CE	CDS	R03H10.7	NA	protein_coding	NA	NA	3	DL238,ECA36,JU2513
II	4224892	Tc4v	CDS	C16A11.5	NA	protein_coding	NA	NA	3	CX11271,CX11276,CX11307
II	4309811	PALTA3_CE	intergenic	NA	NA	NA	NA	NA	2	MY16,NIC3
II	4351053	MARINER2	promoter	H20J04.9	NA	protein_coding	NA	GO:0008152,GO:0008168	1	ECA36
II	4376061	NPAL5A_CE	intron	B0286.4	ntl-2	protein_coding	sterile,sterile progeny,late larval arrest,slow growth,sick,lethal,larval arrest,embryonic lethal,adult lethal	GO:0005634,GO:0006355,GO:0009792,GO:0040011,GO:0019915,GO:0019915,GO:0040011,GO:0000003,GO:0002119,GO:0006898,GO:0000003,GO:0002119,GO:0040007,GO:0002119,GO:0040007,GO:0040018,GO:0000003,GO:0040035,GO:0040018,GO:0000003,GO:0040035,GO:0040018,GO:0040035,GO:0002119,GO:0040018,GO:0000003,GO:0040035,GO:0002119,GO:0000003,GO:0002119,GO:0040011,GO:0002119,GO:0000003,GO:0002119,GO:0000003	2	MY16,MY23
II	4408451	Tc1	intron	ZK430.5	NA	protein_coding	NA	GO:0005634,GO:0006508,GO:0008233	1	CB4851
II	4635292	MIRAGE1	intron	F35D11.11	che-10	protein_coding	embryonic lethal	GO:0035869,GO:0042384,GO:0009792	1	JU1581
II	4654441	MIRAGE1	intron	T05A7.5	fut-6	protein_coding	NA	GO:0006486,GO:0008417,GO:0016020	1	JU1242
II	4657802	WBT00000074	promoter	T05A7.5	fut-6	protein_coding	NA	GO:0006486,GO:0008417,GO:0016020	1	JU1409
II	4680480	MARINER2	intron	T05A7.7	NA	protein_coding	NA	NA	1	QX1211
II	4683253	MARINER2	intron	T05A7.8	sre-40	protein_coding	NA	GO:0007606,GO:0016021	1	QX1211
II	4724239	MARINER2	intron	F10G7.10	NA	protein_coding	NA	GO:0004842,GO:0008270	1	QX1211
II	4767692	MIRAGE1	intron	F26G1.4	ttm-2	protein_coding	NA	NA	2	EG4724,JU2001
II	4817667	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	EG4349
II	4856824	Tc3	intron	F11G11.7	dnj-9	protein_coding	NA	NA	28	AB1,CB4852,CB4853,CB4858,CX11264,CX11285,CX11292,CX11314,ED3005,ED3073,EG4946,GXW1,JU311,JU642,MY18,NIC231,NIC3,PB303,PB306,PS2025,QG2075,QG556,QG557,QX1212,QX1233,QX1793,QX1794,RC301
II	4859941	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU1242
II	5013555	LTRCER1	promoter	F59A6.2	NA	protein_coding	embryonic lethal	GO:0009792	1	NIC199
II	5013555	LTRCER1	promoter	F59A6.8	msp-71	pseudogene	embryonic lethal	NA	1	NIC199
II	5072773	Tc1	promoter	C27A2.7	NA	protein_coding	NA	GO:0046872,GO:0003676	1	ECA252
II	5126151	MARINER2	intergenic	NA	NA	NA	NA	NA	2	ECA36,QX1211
II	5177754	Tc1	intron	C27D6.12	NA	protein_coding	NA	NA	1	QX1211
II	5290557	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	NIC269
II	5300984	MARINER2	intergenic	NA	NA	NA	NA	NA	1	QX1211
II	5315918	Tc5	CDS	F08B1.2	gcy-12	protein_coding	NA	GO:0004383,GO:0006182,GO:0031513,GO:0009190,GO:0016849,GO:0035556,GO:0004672,GO:0006468,GO:0016772	1	CB4851
II	5333535	Tc1	intron	F08B1.1	vhp-1	protein_coding	sterile,larval lethal,slow growth,sick,larval arrest,embryonic lethal	GO:0000188,GO:0002119,GO:0005634,GO:0005737,GO:0006470,GO:0008579,GO:0017017,GO:0046329,GO:0046688,GO:0008138,GO:0006952,GO:0006952,GO:0009792,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0002119,GO:0000003	1	CB4851
II	5426963	LINE2C1_CE	three_prime_UTR	F07F6.4	NA	protein_coding	NA	GO:0008060,GO:0008270,GO:0032312,GO:0032940,GO:0032940	2	ECA36,QX1211
II	5541132	Tc1	intron	C17C3.24	NA	protein_coding	NA	NA	1	ECA252
II	5546169	IR1_CE	intron	C17C3.12	acdh-2	protein_coding	NA	GO:0003995,GO:0055114,GO:0016627,GO:0008152,GO:0050660	1	CX11271
II	5546169	IR1_CE	promoter	C17C3.18	ins-13	protein_coding	NA	GO:0005179,GO:0005576	1	CX11271
II	5670241	Tc1	CDS	C25H3.8	NA	protein_coding	larval lethal,slow growth,sterile progeny	GO:0000003	1	CB4851
II	5703809	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
II	5754617	MAR_CE	three_prime_UTR	F10C1.8	NA	protein_coding	embryonic lethal	GO:0005198,GO:0005882,GO:0040007,GO:0009792,GO:0040018,GO:0040007,GO:0009792,GO:0040018	1	QX1211
II	5872985	Tc2	intron	F55C12.5	NA	protein_coding	NA	NA	1	JU406
II	6088771	NPAL5A_CE	three_prime_UTR	F21H12.5	fbf-2	protein_coding	sterile,sterile progeny,sick,lethal,embryonic lethal	GO:0003730,GO:0017148,GO:0043186,GO:0003723,GO:0005488,GO:0040011,GO:0000003,GO:0000003,GO:0000003,GO:0000003,GO:0040022,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0051729,GO:0000003,GO:0000003,GO:0009792,GO:0006898,GO:0000003,GO:0040035,GO:0000003,GO:0000003,GO:0040035,GO:0000003,GO:0045132,GO:0000003,GO:0000003,GO:0000003,GO:0000003,GO:0000003,GO:0009792,GO:0007283,GO:0009792,GO:0009792,GO:0040027,GO:0040027,GO:0000003,GO:0040011,GO:0000003,GO:0040022,GO:0007281,GO:0040022,GO:0007281,GO:0040022,GO:0042006,GO:0040022,GO:0040022	1	QX1792
II	6142535	Tc1	intron	F57F10.1	abts-3	protein_coding	NA	GO:0005452,GO:0006820,GO:0016020,GO:0016021,GO:0005215,GO:0006810	1	ECA252
II	6172974	Tc1	promoter	F40H3.2	NA	protein_coding	NA	NA	1	CB4851
II	6189481	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	6217758	MARINER2	intergenic	NA	NA	NA	NA	NA	6	ED3046,ED3049,JU1400,JU1652,JU258,NIC251
II	6226119	Tc1A	intron	C30B5.7	NA	protein_coding	NA	GO:0016021	1	DL238
II	6242088	Tc1	intron	T24H7.5	tat-4	protein_coding	sterile,larval lethal,sick,lethal,larval arrest	GO:0016125,GO:0006812,GO:0016021,GO:0019829,GO:0000287,GO:0004012,GO:0005524,GO:0015914,GO:0000166,GO:0046872,GO:0002119,GO:0000003,GO:0040035,GO:0040018,GO:0000003,GO:0040035,GO:0000003,GO:0002119,GO:0000003,GO:0040018,GO:0000003,GO:0040018,GO:0000003,GO:0000003,GO:0000003,GO:0002119,GO:0002119,GO:0040018,GO:0000003,GO:0000003,GO:0032502	1	ECA252
II	6242088	Tc1	promoter	T24H7.8	NA	protein_coding	sterile,larval arrest,larval lethal,sick,lethal	GO:0002119,GO:0000003,GO:0040035,GO:0040018,GO:0000003,GO:0040035,GO:0000003,GO:0002119,GO:0000003,GO:0040018,GO:0000003,GO:0040018,GO:0000003,GO:0000003,GO:0000003,GO:0002119,GO:0002119,GO:0040018,GO:0000003,GO:0000003	1	ECA252
II	6263638	Tc1	promoter	F13H8.3	NA	protein_coding	NA	NA	1	ECA252
II	6303894	Tc1	intron	C29F5.1	NA	protein_coding	NA	GO:0016529	1	ECA252
II	6418794	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	JU2519
II	6431679	Tc5	CDS	K03H9.1	NA	protein_coding	NA	NA	1	CB4851
II	6559924	HELITRON1_CE	intron	F18C5.10	NA	protein_coding	NA	NA	1	ED3048
II	6576982	MARINER2	three_prime_UTR	C56C10.5	sra-31	protein_coding	NA	GO:0004930,GO:0007606,GO:0016021	2	ECA36,QX1211
II	6641546	MARINER2	intron	T19D12.6	NA	protein_coding	NA	NA	1	QX1792
II	6646641	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	6663659	Tc1	three_prime_UTR	T19D12.2	NA	protein_coding	embryonic lethal,maternal sterile	GO:0000003,GO:0009792	2	JU1409,NIC3
II	6681824	Tc4v	intron	C18H9.8	ift-74	protein_coding	NA	GO:0005515,GO:0005929,GO:0006935,GO:0035264,GO:0042073,GO:0050906	1	QW947
II	6730982	LTRCER1	intron	T14B4.9	NA	protein_coding	NA	GO:0008375,GO:0016020	1	EG4349
II	6778797	HAT1_CE	promoter	T13C2.7	NA	protein_coding	NA	NA	8	CB4855,DL226,ED3049,ED3052,JU1652,JU774,LKC34,MY1
II	6827819	MIRAGE1	promoter	F31E8.1	NA	protein_coding	NA	NA	1	JU394
II	6836591	Tc1	intron	C04A2.3	egl-27	protein_coding	sterile,early larval lethal,larval lethal,slow growth,lethal,larval arrest,embryonic lethal	GO:0001708,GO:0002119,GO:0005634,GO:0006357,GO:0007155,GO:0007498,GO:0008544,GO:0009786,GO:0009792,GO:0010171,GO:0016055,GO:0016581,GO:0018991,GO:0030334,GO:0031581,GO:0045138,GO:0060290,GO:0003700,GO:0006355,GO:0008270,GO:0043565,GO:0003682,GO:0003677,GO:0002119,GO:0010171,GO:0018991,GO:0018991,GO:0040011,GO:0009792,GO:0002119,GO:0010171,GO:0040011,GO:0009792,GO:0009792,GO:0002119,GO:0010171,GO:0000003,GO:0009792,GO:0000003,GO:0000003,GO:0000003,GO:0002119,GO:0010171,GO:0000003,GO:0009792,GO:0002119,GO:0010171,GO:0009792,GO:0002119,GO:0009792,GO:0002119,GO:0010171,GO:0000003,GO:0008340,GO:0009792,GO:0002119,GO:0009792,GO:0009792,GO:0009792,GO:0002119,GO:0010171,GO:0040011,GO:0030163,GO:0030163,GO:0030163,GO:0030163,GO:0030163,GO:0010171	1	ECA252
II	7032357	MARINER2	intergenic	NA	NA	NA	NA	NA	1	QX1211
II	7178370	Tc3	intergenic	NA	NA	NA	NA	NA	4	DL226,MY16,MY23,QX1793
II	7206126	Tc1	CDS	E04F6.1	srd-59	protein_coding	NA	NA	1	CB4851
II	7278828	Tc5	intergenic	NA	NA	NA	NA	NA	1	DL200
II	7353169	LINE2G_CE	promoter	F43E2.8	hsp-4	protein_coding	sterile,maternal sterile,slow growth,larval lethal,larval arrest,embryonic lethal	GO:0001085,GO:0009792,GO:0030968,GO:0034663,GO:0009792,GO:0002119,GO:0002119,GO:0000003,GO:0000003,GO:0002119,GO:0000003,GO:0002119,GO:0009792,GO:0006915,GO:0000003,GO:0019915	2	MY16,QX1792
II	7397426	Tc5	promoter	C07D10.1	NA	protein_coding	NA	GO:0005515	1	CB4851
II	7403875	Tc1	promoter	C07D10.4	nas-7	protein_coding	embryonic lethal,lethal	GO:0043050,GO:0060465,GO:0004222,GO:0006508,GO:0008237,GO:0008270,GO:0040018,GO:0009792	1	ECA252
II	7420073	Tc2	intergenic	NA	NA	NA	NA	NA	1	JU1246
II	7423681	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	7425420	MARINER2	intergenic	NA	NA	NA	NA	NA	5	DL226,MY16,MY23,QG2075,QX1793
II	7458420	MIRAGE1	intron	D1022.5	NA	protein_coding	NA	GO:0016787	1	QX1212
II	7462704	LTRCER1	intron	D1022.6	sro-1	protein_coding	NA	GO:0004930,GO:0007186,GO:0016021	1	NIC275
II	7558795	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	7592934	Tc1	intron	F35D2.5	syd-1	protein_coding	NA	GO:0008088,GO:0034613,GO:0040011,GO:0042734,GO:0005515,GO:0007165,GO:0005622	2	CB4851,ECA252
II	7648235	MARINER2	intron	R153.1	pde-4	protein_coding	NA	GO:0004115,GO:0006198,GO:0030431,GO:0040013,GO:0043951,GO:0045202,GO:0004114,GO:0007165,GO:0008081	1	QX1791
II	7760412	Tc3	CDS	B0228.8	NA	protein_coding	NA	NA	1	JU775
II	7763330	MARINER2	CDS	B0228.9	NA	protein_coding	NA	NA	1	QX1211
II	7810147	Tc1	promoter	T05A6.1	cki-1	protein_coding	sterile,sick,embryonic lethal,L2 arrest,lethal,embryonic arrest,larval arrest,dauer arrest variant	GO:0005634,GO:0009792,GO:0071850,GO:0004861,GO:0007050,GO:0009792,GO:0018991,GO:0009792,GO:0009790,GO:0009792,GO:0009790,GO:0010171,GO:0040011,GO:0051301,GO:0018996,GO:0007049,GO:0008406,GO:0051729,GO:0000003,GO:0009792,GO:0009792,GO:0002119,GO:0040011,GO:0000003,GO:0000003,GO:0000003,GO:0040035,GO:0000003,GO:0000003,GO:0040035,GO:0000003,GO:0042127,GO:0040020,GO:0000003	1	ECA252
II	7813339	Tc1	gene	T05A6.8	NA	other	NA	NA	1	ECA252
II	7840524	Tc1	promoter	T09A5.2	klp-3	protein_coding	embryonic arrest,one cell arrest early emb,embryonic lethal	GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0005871,GO:0045132,GO:0009792,GO:0007067	71	CB4853,CB4856,CB4857,CB4858,CB4932,CX11254,CX11262,CX11264,CX11271,CX11276,CX11285,CX11292,CX11307,CX11314,CX11315,DL200,ED3017,EG4349,EG4946,JT11398,JU1172,JU1213,JU1242,JU1400,JU1409,JU1440,JU1491,JU1530,JU1580,JU1581,JU2007,JU2316,JU2519,JU2522,JU2526,JU310,JU346,JU360,JU393,JU397,JU642,JU751,JU774,JU775,JU778,JU782,JU792,JU830,NIC199,NIC1,NIC207,NIC236,NIC242,NIC255,NIC256,NIC258,NIC259,NIC260,NIC261,NIC262,NIC265,NIC269,NIC271,NIC277,NIC3,PB306,PS2025,QG536,QG556,QW947,WN2001
II	7840524	Tc1	gene	T09A5.23	linc-133	other	NA	NA	71	CB4853,CB4856,CB4857,CB4858,CB4932,CX11254,CX11262,CX11264,CX11271,CX11276,CX11285,CX11292,CX11307,CX11314,CX11315,DL200,ED3017,EG4349,EG4946,JT11398,JU1172,JU1213,JU1242,JU1400,JU1409,JU1440,JU1491,JU1530,JU1580,JU1581,JU2007,JU2316,JU2519,JU2522,JU2526,JU310,JU346,JU360,JU393,JU397,JU642,JU751,JU774,JU775,JU778,JU782,JU792,JU830,NIC199,NIC1,NIC207,NIC236,NIC242,NIC255,NIC256,NIC258,NIC259,NIC260,NIC261,NIC262,NIC265,NIC269,NIC271,NIC277,NIC3,PB306,PS2025,QG536,QG556,QW947,WN2001
II	7886698	Tc4v	intergenic	NA	NA	NA	NA	NA	1	CB4851
II	7905878	Tc5	intron	ZK675.3	best-23	protein_coding	NA	NA	1	ED3073
II	7917899	Tc1	intron	ZK669.1	spv-1	protein_coding	embryonic lethal,larval lethal	GO:0007165,GO:0035556,GO:0005622,GO:0009792,GO:0002119,GO:0010171,GO:0009792,GO:0009792	1	ECA36
II	7949398	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	QX1792
II	8058280	Tc1	promoter	T05H10.8	NA	protein_coding	NA	NA	1	ECA252
II	8125310	Tc5	promoter	C41C4.4	ire-1	protein_coding	sterile,sick,L2 arrest	GO:0002119,GO:0004521,GO:0004674,GO:0006468,GO:0006990,GO:0030176,GO:0030968,GO:0030969,GO:0035966,GO:0090305,GO:0004672,GO:0005524,GO:0005515,GO:0004540,GO:0006397,GO:0016772,GO:0000003,GO:0030968,GO:0019915,GO:0008340,GO:0008340,GO:0008340,GO:0008340,GO:0008340,GO:0008340,GO:0008340	2	JU1409,NIC3
II	8208814	MIRAGE1	intron	M110.8	NA	protein_coding	NA	NA	1	JU1652
II	8336331	Tc5	CDS	C26D10.7	NA	protein_coding	embryonic lethal	NA	4	EG4349,JU1400,NIC277,WN2001
II	8409036	MIRAGE1	CDS	F49E12.5	sra-13	protein_coding	NA	GO:0004930,GO:0007606,GO:0016021	1	JU1652
II	8410155	Tc1	intergenic	NA	NA	NA	NA	NA	2	ECA36,QX1211
II	8489034	MARINER2	intron	T13H5.1	NA	protein_coding	NA	GO:0004725,GO:0006470	10	CX11285,DL226,ED3005,ED3011,MY16,MY18,MY23,PS2025,QG556,QX1793
II	8496807	MIRAGE1	intron	T13H5.1	NA	protein_coding	NA	GO:0004725,GO:0006470	1	EG4724
II	8500827	Tc1	intron	T13H5.1	NA	protein_coding	NA	GO:0004725,GO:0006470	1	CB4851
II	8511115	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU406
II	8610174	WBT00000074	promoter	F28C6.9	NA	protein_coding	embryonic lethal	GO:0009792	12	BRC20067,CB4855,GXW1,JU2464,JU2466,JU2513,KR314,PB303,QX1233,QX1794,RC301,WN2002
II	8728623	Tc5	intron	T01B7.9	NA	protein_coding	NA	NA	1	CB4851
II	8774515	MIRAGE1	intron	K08F8.6	let-19	protein_coding	lethal,embryonic lethal	GO:0001104,GO:0006357,GO:0016592,GO:0009792,GO:0009792,GO:0010171,GO:0010171,GO:0018996,GO:0040027,GO:0009792,GO:0040027	1	JU367
II	8893967	Tc3	intergenic	NA	NA	NA	NA	NA	6	JU2001,JU258,JU847,MY10,NIC251,QX1791
II	9005692	Tc5	promoter	F44G4.7	NA	protein_coding	NA	NA	1	CB4851
II	9071321	Tc5	promoter	T24B8.4	NA	protein_coding	NA	GO:0003779	1	CB4851
II	9090989	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA36
II	9137269	Tc1	intron	C16D2.2	NA	protein_coding	NA	NA	1	CB4851
II	9143232	Tc1	CDS	Y9C2UA.1	NA	protein_coding	NA	GO:0005886	1	ECA252
II	9377007	LTRCER1	intron	C06C3.10	NA	protein_coding	NA	NA	1	MY10
II	9377007	LTRCER1	intron	C06C3.9	NA	protein_coding	NA	NA	1	MY10
II	9383551	MARINER2	CDS	C06C3.6	srh-48	protein_coding	NA	NA	1	ED3012
II	9393450	Tc5A	promoter	Y51B9A.10	NA	pseudogene	NA	NA	2	CB4856,MY16
II	9393810	Tc5A	promoter	Y51B9A.10	NA	pseudogene	NA	NA	3	EG4724,JU774,PB303
II	9397209	Tc5	intron	Y51B9A.9	NA	protein_coding	NA	GO:0004672,GO:0005524,GO:0006468,GO:0016772	1	DL238
II	9430746	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	DL200
II	9545267	LTRCER1	CDS	AH6.11	sra-7	protein_coding	NA	GO:0004930,GO:0007606,GO:0016021	1	QG536
II	9566523	Tc5	intergenic	NA	NA	NA	NA	NA	2	ECA36,QX1211
II	9575577	Tc1	promoter	F35H8.5	exc-7	protein_coding	NA	GO:0002064,GO:0016607,GO:0035150,GO:0003676,GO:0003723,GO:0000166	1	CB4851
II	9665975	Tc1	promoter	ZK1320.11	NA	protein_coding	NA	NA	1	CB4851
II	9665975	Tc1	promoter	ZK1320.5	NA	protein_coding	NA	NA	1	CB4851
II	9706364	Chapaev-1_CE	promoter	Y53C12A.3	NA	protein_coding	NA	GO:0016020	1	NIC251
II	9707103	Tc3	intron	Y53C12A.2	glt-5	protein_coding	NA	GO:0006835,GO:0016020,GO:0017153	1	CX11314
II	9709930	Tc3	promoter	Y53C12A.2	glt-5	protein_coding	NA	GO:0006835,GO:0016020,GO:0017153	1	JU1246
II	9728963	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU258
II	9866900	LTRCER1	CDS	C08H9.5	old-1	protein_coding	NA	GO:0004672,GO:0006468,GO:0016772,GO:0004713,GO:0008340,GO:0008340,GO:0008340	1	LKC34
II	9874068	Tc1	intron	C08H9.6	chil-2	protein_coding	NA	GO:0004553,GO:0005975,GO:0004568,GO:0006032	1	ECA252
II	9937189	PALTA4_CE	promoter	C05C10.3	NA	protein_coding	NA	GO:0005739,GO:0008152,GO:0008410,GO:0046952	132	AB1,BRC20067,CB4851,CB4852,CB4853,CB4854,CB4855,CB4856,CB4857,CB4858,CB4932,CX11254,CX11262,CX11264,CX11271,CX11276,CX11285,CX11292,CX11307,CX11314,CX11315,DL200,DL226,DL238,ECA252,ECA36,ED3005,ED3011,ED3012,ED3017,ED3040,ED3046,ED3048,ED3049,ED3052,ED3073,ED3077,EG4347,EG4724,EG4946,GXW1,JT11398,JU1088,JU1172,JU1200,JU1212,JU1242,JU1246,JU1400,JU1409,JU1440,JU1491,JU1530,JU1568,JU1580,JU1581,JU1586,JU1652,JU1896,JU2007,JU2464,JU2466,JU2513,JU258,JU310,JU311,JU323,JU346,JU360,JU367,JU394,JU397,JU406,JU440,JU561,JU642,JU751,JU775,JU778,JU782,JU830,JU847,KR314,LKC34,LSJ1,MY10,MY16,MY18,MY1,MY23,N2,NIC195,NIC199,NIC1,NIC207,NIC231,NIC242,NIC252,NIC255,NIC256,NIC258,NIC259,NIC260,NIC261,NIC262,NIC265,NIC266,NIC267,NIC269,NIC271,NIC272,NIC277,NIC2,NIC3,PB303,PB306,PS2025,PX179,QG2075,QG536,QG556,QG557,QW947,QX1211,QX1212,QX1233,QX1792,QX1793,QX1794,RC301,WN2001,WN2002
II	10004676	Tc1	promoter	ZK892.8	NA	pseudogene	NA	NA	1	CB4851
II	10044471	MARINER2	intron	F52H3.3	bath-38	protein_coding	NA	GO:0005515	6	ED3005,ED3011,MY18,PS2025,QG556,QX1793
II	10055087	Tc1	intron	C18D1.3	flp-4	protein_coding	NA	GO:0007218	1	ECA252
II	10075027	Tc1	promoter	C18D1.1	die-1	protein_coding	larval lethal,slow growth,embryonic lethal	GO:0003677,GO:0005634,GO:0007015,GO:0010171,GO:0016331,GO:0009792,GO:0002119,GO:0010171,GO:0040027,GO:0009792,GO:0009792,GO:0006898	1	CX11292
II	10080802	Tc1	intergenic	NA	NA	NA	NA	NA	1	ECA252
II	10083209	HELITRON1_CE	intergenic	NA	NA	NA	NA	NA	1	NIC277
II	10199449	LTRCER1	CDS	R05H5.4	NA	protein_coding	NA	GO:0005515,GO:0004672,GO:0006468,GO:0016772,GO:0004713	3	JU1246,JU1409,NIC3
II	10271976	MIRAGE1	promoter	F54B3.4	NA	protein_coding	NA	NA	1	JU1652
II	10287474	Tc5	intron	ZK970.1	nep-26	protein_coding	NA	GO:0004222,GO:0006508,GO:0008237	1	CB4851
II	10335349	Tc1	intron	M02G9.1	NA	protein_coding	sterile,larval arrest,maternal sterile	GO:0000003,GO:0002119,GO:0010171,GO:0000003,GO:0010171,GO:0000003	1	CB4851
II	10341780	HAT2_CE	intron	C07E3.2	pro-2	protein_coding	sterile,slow growth,larval arrest,late larval lethal,embryonic lethal	GO:0000003,GO:0051729,GO:0005488,GO:0009792,GO:0019915,GO:0002119,GO:0016246,GO:0006898,GO:0000003	4	CX11307,JU2522,JU642,JU782
II	10341869	HAT2_CE	intron	C07E3.2	pro-2	protein_coding	sterile,slow growth,larval arrest,late larval lethal,embryonic lethal	GO:0000003,GO:0051729,GO:0005488,GO:0009792,GO:0019915,GO:0002119,GO:0016246,GO:0006898,GO:0000003	4	JU1491,JU1530,JU1581,QX1211
II	10504873	Tc5	intergenic	NA	NA	NA	NA	NA	1	CB4851
II	10545176	Tc4v	intron	R166.5	mnk-1	protein_coding	NA	GO:0005634,GO:0060626,GO:0004672,GO:0005524,GO:0006468,GO:0016772	2	ECA36,QX1211
II	10666532	PAL3A_CE	promoter	D2089.3	NA	protein_coding	slow growth,larval lethal,embryonic lethal	GO:0009792,GO:0002119,GO:0009792,GO:0040011,GO:0016246,GO:0006898	1	QX1211
II	10683085	Tc1	intron	D2089.4	ptb-1	protein_coding	NA	GO:0000398,GO:0003723,GO:0003676,GO:0005634,GO:0006397,GO:0000166	1	CB4851
II	10687752	PALNN1_CE	intron	D2089.4	ptb-1	protein_coding	NA	GO:0000398,GO:0003723,GO:0003676,GO:0005634,GO:0006397,GO:0000166	1	NIC276
II	10740908	Tc5	intron	C52A11.4	mpz-1	protein_coding	NA	GO:0030424,GO:0032794,GO:0005515	1	CB4851
