chromosome	clone	start	end	strain
III	WRMHS23N20	5498798	5536443	CB4856
III	WRMHS7G18	5500140	5533274	CB4856
III	WRMHS36O22	5506038	5539499	CB4856
III	WRMHS37H06	5510700	5545584	CB4856
III	WRMHS13C09	5517013	5551732	CB4856
III	WRMHS23K13	5523634	5559333	CB4856
III	WRMHS14O16	5528211	5560240	CB4856
III	WRMHS7P09	5532666	5567094	CB4856
III	WRMHS16H22	5536085	5571010	CB4856
III	WRMHS32A01	5536304	5574220	CB4856
III	WRMHS24B14	5537832	5568686	CB4856
III	WRMHS16E14	5538701	5574842	CB4856
III	WRMHS3J22	5541915	5576175	CB4856
III	WRMHS38D19	5545016	5578195	CB4856
III	WRMHS35A13	5547039	5579339	CB4856
III	WRMHS14J15	5562827	5604884	CB4856
III	WRMHS34J20	5569242	5601755	CB4856
III	WRMHS5E11	5569863	5603815	CB4856
III	WRMHS35L04	5570707	5612032	CB4856
III	WRMHS14F06	5573269	5605732	CB4856
III	WRMHS36M03	5578078	5612605	CB4856
III	WRMHS12A10	5578380	5617089	CB4856
III	WRMHS4D14	5582100	5617235	CB4856
III	WRMHS24P17	5593807	5633262	CB4856
III	WRMHS17F07	5603546	5637487	CB4856
III	WRMHS26N24	5619175	5653465	CB4856
III	WRMHS35E13	5622083	5665078	CB4856
III	WRMHS15N10	5630686	5670109	CB4856
III	WRMHS26J13	5642976	5675984	CB4856
III	WRMHS6D05	5647714	5679262	CB4856
III	WRMHS23J19	5657450	5694504	CB4856
III	WRMHS4E21	5657748	5681502	CB4856
III	WRMHS22F11	5663972	5698751	CB4856
III	WRMHS32D07	5673963	5712185	CB4856
III	WRMHS33F10	5674726	5716336	CB4856
III	WRMHS22K19	5681624	5723671	CB4856
III	WRMHS33J16	5683125	5718009	CB4856
III	WRMHS37E16	5684089	5716829	CB4856
III	WRMHS35J01	5688114	5722990	CB4856
III	WRMHS37N17	5695193	5729056	CB4856
III	WRMHS5K08	5701412	5736054	CB4856
III	WRMHS23J07	5706719	5746865	CB4856
III	WRMHS34A23	5710194	5747192	CB4856
III	WRMHS11L18	5715406	5747582	CB4856
III	WRMHS22M13	5720035	5746451	CB4856
III	WRMHS35H11	5727765	5768819	CB4856
III	WRMHS2N06	5736370	5769145	CB4856
III	WRMHS9I12	5739681	5769887	CB4856
III	WRMHS25E18	5754298	5783837	CB4856
III	WRMHS19A02	5755499	5791840	CB4856
III	WRMHS13P22	5778196	5811060	CB4856
III	WRMHS15L04	5781439	5814170	CB4856
III	WRMHS16G18	5793944	5832075	CB4856
III	WRMHS18B22	5794296	5836089	CB4856
III	WRMHS4G14	5809147	5839151	CB4856
III	WRMHS33B02	5809672	5845471	CB4856
III	WRMHS19N17	5813332	5845643	CB4856
III	WRMHS31O11	5816215	5854559	CB4856
III	WRMHS6G13	5818042	5848840	CB4856
III	WRMHS12D05	5819432	5852499	CB4856
III	WRMHS40A10	5833519	5874526	CB4856
III	WRMHS33K24	5853573	5894954	CB4856
III	WRMHS39K11	5874540	5909390	CB4856
III	WRMHS18N16	5874609	5912661	CB4856
III	WRMHS2B22	5881399	5919962	CB4856
III	WRMHS11A07	5904077	5929545	CB4856
III	WRMHS16I01	5911178	5948187	CB4856
III	WRMHS24A04	5935684	5971665	CB4856
III	WRMHS17H12	5937007	5967160	CB4856
III	WRMHS40J01	5937777	5971025	CB4856
III	WRMHS1O10	5940435	5980538	CB4856
III	WRMHS22F05	5940870	5981719	CB4856
III	WRMHS38I22	5941255	5979260	CB4856
III	WRMHS24K05	5941314	5977466	CB4856
III	WRMHS35P05	5948489	5980340	CB4856
III	WRMHS1B02	5958403	6000184	CB4856
III	WRMHS38J08	5965171	5999668	CB4856
III	WRMHS34H02	5969623	6004010	CB4856
III	WRMHS11E22	5970100	6005181	CB4856
III	WRMHS37K06	5972188	6008516	CB4856
III	WRMHS16H24	5973260	6005931	CB4856
III	WRMHS6F03	5978917	6010294	CB4856
III	WRMHS25N12	5983268	6024672	CB4856
III	WRMHS5D16	5987701	6025078	CB4856
III	WRMHS25H04	5991581	6025832	CB4856
III	WRMHS15C12	5996232	6032968	CB4856
III	WRMHS31A05	6005953	6042034	CB4856
III	WRMHS34P24	6009264	6045000	CB4856
III	WRMHS38L10	6009296	6042703	CB4856
III	WRMHS29A01	6015692	6049470	CB4856
III	WRMHS20N04	6016096	6050816	CB4856
III	WRMHS20E14	6021388	6058954	CB4856
III	WRMHS4O02	6023424	6060705	CB4856
III	WRMHS13H07	6036083	6070574	CB4856
III	WRMHS24D08	6078615	6121024	CB4856
III	WRMHS27L22	6084166	6124182	CB4856
III	WRMHS18A01	6085488	6116819	CB4856
III	WRMHS20M22	6093336	6128830	CB4856
III	WRMHS7M05	6095055	6127179	CB4856
III	WRMHS5M02	6099610	6135609	CB4856
III	WRMHS32H08	6110720	6145279	CB4856
III	WRMHS38D21	6134595	6173085	CB4856
III	WRMHS2G06	6138162	6168976	CB4856
III	WRMHS15A13	6143116	6176308	CB4856
III	WRMHS32L09	6146952	6188191	CB4856
III	WRMHS35C22	6158940	6191455	CB4856
III	WRMHS17D13	6160994	6197270	CB4856
III	WRMHS9F07	6167677	6203955	CB4856
III	WRMHS38L06	6169685	6207946	CB4856
III	WRMHS13H10	6170217	6208662	CB4856
III	WRMHS13P09	6170574	6203850	CB4856
III	WRMHS5H21	6181268	6220640	CB4856
III	WRMHS4O17	6191257	6225678	CB4856
III	WRMHS32H01	6199823	6229753	CB4856
III	WRMHS33H04	6200395	6231295	CB4856
III	WRMHS15N16	6203662	6237683	CB4856
III	WRMHS5H20	6205185	6240321	CB4856
III	WRMHS39P07	6206081	6236660	CB4856
III	WRMHS24N03	6211538	6243722	CB4856
III	WRMHS36B18	6213158	6245090	CB4856
III	WRMHS26G08	6217825	6249990	CB4856
III	WRMHS11A17	6220622	6252103	CB4856
III	WRMHS38O19	6223634	6260247	CB4856
III	WRMHS15L10	6236938	6276391	CB4856
III	WRMHS34H13	6247349	6285412	CB4856
III	WRMHS1E01	6248353	6283044	CB4856
III	WRMHS31H05	6248410	6282695	CB4856
III	WRMHS25D02	6271055	6312152	CB4856
III	WRMHS39P11	6277812	6309457	CB4856
III	WRMHS23J15	6284520	6319012	CB4856
III	WRMHS20B20	6285910	6321690	CB4856
III	WRMHS21H12	6289910	6330065	CB4856
III	WRMHS16M02	6296971	6333292	CB4856
III	WRMHS37D19	6299651	6338545	CB4856
III	WRMHS29E21	6304065	6336555	CB4856
III	WRMHS33D08	6304153	6344338	CB4856
III	WRMHS22B24	6315652	6344615	CB4856
III	WRMHS15C18	6326628	6365935	CB4856
III	WRMHS19O17	6330421	6367393	CB4856
III	WRMHS13P13	6335867	6373182	CB4856
III	WRMHS33G19	6338896	6375698	CB4856
III	WRMHS33N12	6339461	6373963	CB4856
III	WRMHS10M05	6341354	6372446	CB4856
III	WRMHS5G07	6352753	6386259	CB4856
III	WRMHS12O03	6361002	6395219	CB4856
III	WRMHS4N22	6362871	6397844	CB4856
III	WRMHS40P13	6363321	6399362	CB4856
III	WRMHS4L15	6364190	6398490	CB4856
III	WRMHS22D05	6367557	6400225	CB4856
III	WRMHS17H05	6389213	6425569	CB4856
III	WRMHS12B19	6389960	6423751	CB4856
III	WRMHS33E06	6396680	6430566	CB4856
III	WRMHS7K13	6402813	6440647	CB4856
III	WRMHS29C21	6403230	6435379	CB4856
III	WRMHS15E10	6407307	6444019	CB4856
III	WRMHS6M15	6411151	6446295	CB4856
III	WRMHS10E18	6416602	6450849	CB4856
III	WRMHS40G23	6422303	6456704	CB4856
III	WRMHS39N22	6425114	6461851	CB4856
III	WRMHS12F16	6430567	6466742	CB4856
III	WRMHS7I20	6430742	6458296	CB4856
III	WRMHS37N15	6431521	6459329	CB4856
III	WRMHS8N10	6434029	6468998	CB4856
III	WRMHS33B06	6435775	6474665	CB4856
III	WRMHS38L20	6439100	6477911	CB4856
III	WRMHS5A17	6440701	6475602	CB4856
III	WRMHS19J04	6443661	6484898	CB4856
III	WRMHS35O24	6447388	6481897	CB4856
III	WRMHS35P21	6468218	6501254	CB4856
III	WRMHS5M16	6482997	6522316	CB4856
III	WRMHS39H14	6484189	6517970	CB4856
III	WRMHS37O22	6489876	6527231	CB4856
III	WRMHS7L01	6496667	6537087	CB4856
III	WRMHS4J13	6541351	6569688	CB4856
III	WRMHS39D15	6549386	6593213	CB4856
III	WRMHS39F06	6549600	6580935	CB4856
III	WRMHS37G13	6556010	6594006	CB4856
III	WRMHS35B07	6577510	6617520	CB4856
III	WRMHS4M12	6587475	6619547	CB4856
III	WRMHS39H15	6587696	6622292	CB4856
III	WRMHS40F12	6587696	6622292	CB4856
III	WRMHS24B24	6592534	6626817	CB4856
III	WRMHS8D24	6594239	6626998	CB4856
III	WRMHS35H17	6610539	6640917	CB4856
III	WRMHS38P13	6610539	6640917	CB4856
III	WRMHS5K04	6625831	6659682	CB4856
III	WRMHS33H16	6632684	6666976	CB4856
III	WRMHS16L16	6646164	6681431	CB4856
III	WRMHS27E11	6648602	6685656	CB4856
III	WRMHS31B21	6649041	6681736	CB4856
III	WRMHS27D07	6674277	6710647	CB4856
III	WRMHS20F20	6676592	6713805	CB4856
III	WRMHS1P16	6679114	6711000	CB4856
III	WRMHS32O20	6680084	6720044	CB4856
III	WRMHS13C22	6681021	6714731	CB4856
III	WRMHS2C24	6685696	6717793	CB4856
III	WRMHS9B20	6689742	6723308	CB4856
III	WRMHS24B18	6703797	6740595	CB4856
III	WRMHS36M16	6708495	6745832	CB4856
III	WRMHS25C11	6715396	6748823	CB4856
III	WRMHS26P11	6718505	6750441	CB4856
III	WRMHS27M11	6719704	6759060	CB4856
III	WRMHS10D19	6720677	6754395	CB4856
III	WRMHS26I22	6723375	6765108	CB4856
III	WRMHS24P09	6723880	6757739	CB4856
III	WRMHS6N24	6724422	6758272	CB4856
III	WRMHS9E22	6727903	6760106	CB4856
III	WRMHS37P06	6736268	6775815	CB4856
III	WRMHS36P05	6740081	6773733	CB4856
III	WRMHS38D17	6740081	6773733	CB4856
III	WRMHS25E24	6741566	6777170	CB4856
III	WRMHS20P12	6750234	6785315	CB4856
III	WRMHS3J23	6752312	6791387	CB4856
III	WRMHS11A20	6756689	6789206	CB4856
III	WRMHS15C02	6757429	6791368	CB4856
III	WRMHS39L10	6757539	6793618	CB4856
III	WRMHS17C10	6757653	6798426	CB4856
III	WRMHS5C11	6758012	6793761	CB4856
III	WRMHS35M14	6763173	6797704	CB4856
III	WRMHS38A23	6767022	6807461	CB4856
III	WRMHS12A12	6769028	6804026	CB4856
III	WRMHS35O23	6775783	6811181	CB4856
III	WRMHS27J20	6775793	6811838	CB4856
III	WRMHS27D02	6777490	6811556	CB4856
III	WRMHS15M01	6778342	6809444	CB4856
III	WRMHS3L10	6780187	6812936	CB4856
III	WRMHS12D13	6795228	6828051	CB4856
III	WRMHS29L15	6796470	6832227	CB4856
III	WRMHS9J05	6804893	6839217	CB4856
III	WRMHS1F17	6804984	6837920	CB4856
III	WRMHS29P04	6820326	6855002	CB4856
III	WRMHS2I19	6820723	6856969	CB4856
III	WRMHS26G03	6822794	6849694	CB4856
III	WRMHS24H16	6833456	6871587	CB4856
III	WRMHS38F05	6835700	6872915	CB4856
III	WRMHS35D01	6836485	6872266	CB4856
III	WRMHS2D03	6840370	6869714	CB4856
III	WRMHS22H01	6840512	6882223	CB4856
III	WRMHS25O18	6842801	6870877	CB4856
III	WRMHS3M11	6844829	6882434	CB4856
III	WRMHS11P16	6846025	6872840	CB4856
III	WRMHS5L13	6849099	6885724	CB4856
III	WRMHS11N02	6849576	6886615	CB4856
III	WRMHS30E21	6854340	6891698	CB4856
III	WRMHS8M02	6856468	6883460	CB4856
III	WRMHS14H03	6858494	6895482	CB4856
III	WRMHS31F17	6873868	6906517	CB4856
III	WRMHS40D23	6880377	6914699	CB4856
III	WRMHS35C19	6881590	6917063	CB4856
III	WRMHS36A24	6885885	6924674	CB4856
III	WRMHS16O22	6885934	6917262	CB4856
III	WRMHS20L05	6888461	6931857	CB4856
III	WRMHS32F18	6896117	6929837	CB4856
III	WRMHS17K11	6896351	6939426	CB4856
III	WRMHS10E17	6896881	6930556	CB4856
III	WRMHS7P05	6902897	6936969	CB4856
III	WRMHS19H24	6906166	6944275	CB4856
III	WRMHS4N09	6907781	6942686	CB4856
III	WRMHS23J21	6916594	6952902	CB4856
III	WRMHS29G04	6917753	6953512	CB4856
III	WRMHS21J12	6930565	6954587	CB4856
III	WRMHS12G14	6935024	6965728	CB4856
III	WRMHS7H09	6944420	6977360	CB4856
III	WRMHS3K24	6952091	6982588	CB4856
III	WRMHS28I20	6959283	6992587	CB4856
III	WRMHS10G19	6968231	7007056	CB4856
III	WRMHS22E01	6978968	7019127	CB4856
III	WRMHS6O19	6993116	7023276	CB4856
III	WRMHS13H20	6993898	7029113	CB4856
III	WRMHS22L09	6997149	7027220	CB4856
III	WRMHS1F19	6998004	7028517	CB4856
III	WRMHS13N21	7013189	7048330	CB4856
III	WRMHS6E02	7026354	7057252	CB4856
III	WRMHS2E14	7029418	7064628	CB4856
III	WRMHS31A19	7031433	7066336	CB4856
III	WRMHS24F05	7043281	7070659	CB4856
III	WRMHS19F05	7044721	7076893	CB4856
III	WRMHS7G17	7050190	7088741	CB4856
III	WRMHS1H14	7060195	7087739	CB4856
III	WRMHS15L22	7061549	7092604	CB4856
III	WRMHS40E10	7066336	7107727	CB4856
III	WRMHS10B24	7073644	7109228	CB4856
III	WRMHS24G09	7093325	7123919	CB4856
III	WRMHS37M03	7095081	7130494	CB4856
III	WRMHS9N20	7095288	7128258	CB4856
III	WRMHS35L01	7103109	7142211	CB4856
III	WRMHS6I07	7110807	7142639	CB4856
III	WRMHS7B20	7112376	7154158	CB4856
III	WRMHS1D03	7121517	7155197	CB4856
III	WRMHS3M08	7122341	7161897	CB4856
III	WRMHS17G12	7131245	7163564	CB4856
III	WRMHS3D12	7134816	7171061	CB4856
III	WRMHS2M03	7142797	7173751	CB4856
III	WRMHS6K17	7144983	7177236	CB4856
III	WRMHS23L14	7146041	7179764	CB4856
III	WRMHS36A09	7148208	7176504	CB4856
III	WRMHS32L01	7149444	7180526	CB4856
III	WRMHS16D15	7150859	7186222	CB4856
III	WRMHS12I24	7152580	7183235	CB4856
III	WRMHS7E02	7156634	7190945	CB4856
III	WRMHS15M19	7157930	7193865	CB4856
III	WRMHS3I05	7158821	7190518	CB4856
III	WRMHS33E12	7162511	7182661	CB4856
III	WRMHS8J23	7167331	7196862	CB4856
III	WRMHS7D09	7171316	7199931	CB4856
III	WRMHS39O07	7172256	7203442	CB4856
III	WRMHS35P22	7181750	7215280	CB4856
III	WRMHS13D20	7185973	7215115	CB4856
III	WRMHS40I03	7186559	7231091	CB4856
III	WRMHS9F24	7202503	7234637	CB4856
III	WRMHS9C15	7209567	7246608	CB4856
III	WRMHS14L06	7212715	7245470	CB4856
III	WRMHS19G08	7218092	7248811	CB4856
III	WRMHS40N06	7218902	7254430	CB4856
III	WRMHS29I05	7223167	7262844	CB4856
III	WRMHS18E18	7229017	7268800	CB4856
III	WRMHS22G07	7237306	7274987	CB4856
III	WRMHS32G05	7239526	7274187	CB4856
III	WRMHS19J16	7242127	7284888	CB4856
III	WRMHS40H11	7242555	7277103	CB4856
III	WRMHS31F10	7244052	7282494	CB4856
III	WRMHS18L11	7244301	7281975	CB4856
III	WRMHS5D13	7250064	7286662	CB4856
III	WRMHS13O03	7250868	7285973	CB4856
III	WRMHS20D03	7258881	7291976	CB4856
III	WRMHS7D06	7262259	7296089	CB4856
III	WRMHS5B12	7268616	7301708	CB4856
III	WRMHS8C02	7271449	7306404	CB4856
III	WRMHS35P18	7286036	7327704	CB4856
III	WRMHS37F08	7297357	7334350	CB4856
III	WRMHS12E21	7300187	7336433	CB4856
III	WRMHS12E04	7328874	7362357	CB4856
III	WRMHS11L22	7331942	7362479	CB4856
III	WRMHS24J02	7335953	7373247	CB4856
III	WRMHS22A11	7337510	7371440	CB4856
III	WRMHS14H07	7340594	7376961	CB4856
III	WRMHS16H01	7344341	7375191	CB4856
III	WRMHS29A15	7345369	7377847	CB4856
III	WRMHS9G03	7347980	7385439	CB4856
III	WRMHS13O24	7353110	7385215	CB4856
III	WRMHS37O11	7355838	7382936	CB4856
III	WRMHS25P11	7387151	7422450	CB4856
III	WRMHS18A02	7400639	7419081	CB4856
III	WRMHS34E08	7460460	7495294	CB4856
III	WRMHS23D21	7479224	7517135	CB4856
III	WRMHS4P14	7481503	7514719	CB4856
III	WRMHS30C06	7482532	7516317	CB4856
III	WRMHS12N10	7483877	7518756	CB4856
III	WRMHS28O02	7484503	7514915	CB4856
III	WRMHS2P07	7487878	7524903	CB4856
III	WRMHS38E08	7493243	7530698	CB4856
III	WRMHS9L07	7494423	7517876	CB4856
III	WRMHS35K08	7506056	7543371	CB4856
III	WRMHS30G11	7510096	7549578	CB4856
III	WRMHS21E04	7515962	7551838	CB4856
III	WRMHS18G12	7538504	7573523	CB4856
III	WRMHS38A22	7543194	7578799	CB4856
III	WRMHS6G24	7552941	7593248	CB4856
III	WRMHS24J23	7559587	7593516	CB4856
III	WRMHS25C23	7586480	7612488	CB4856
III	WRMHS28P03	7600292	7633678	CB4856
III	WRMHS23F20	7601512	7639884	CB4856
III	WRMHS16B02	7615137	7652812	CB4856
III	WRMHS38K13	7620895	7658544	CB4856
III	WRMHS16O03	7624334	7663193	CB4856
III	WRMHS37N14	7625702	7660359	CB4856
III	WRMHS12N18	7626182	7657534	CB4856
III	WRMHS25K24	7634882	7675982	CB4856
III	WRMHS15J13	7636023	7677134	CB4856
III	WRMHS20D04	7636945	7670413	CB4856
III	WRMHS36B13	7641806	7677253	CB4856
III	WRMHS31E05	7645239	7677714	CB4856
III	WRMHS18D01	7654527	7694644	CB4856
III	WRMHS38N11	7660191	7698709	CB4856
III	WRMHS22D08	7665746	7697889	CB4856
III	WRMHS10P09	7668992	7709673	CB4856
III	WRMHS36D11	7671637	7710583	CB4856
III	WRMHS16B24	7690680	7721090	CB4856
III	WRMHS6H11	7697282	7734270	CB4856
III	WRMHS2E20	7701638	7738897	CB4856
III	WRMHS15L21	7706585	7739974	CB4856
III	WRMHS23M09	7711466	7741820	CB4856
III	WRMHS21L19	7714642	7751111	CB4856
III	WRMHS1M05	7715775	7746448	CB4856
III	WRMHS27J11	7726953	7762497	CB4856
III	WRMHS20J17	7727662	7764296	CB4856
III	WRMHS13J11	7730143	7761447	CB4856
III	WRMHS1B21	7745157	7772347	CB4856
III	WRMHS25I06	7759966	7790588	CB4856
III	WRMHS21H17	7762878	7795547	CB4856
III	WRMHS13N07	7763106	7791512	CB4856
III	WRMHS24O21	7764007	7796775	CB4856
III	WRMHS17J05	7764480	7798509	CB4856
III	WRMHS28P05	7765232	7795975	CB4856
III	WRMHS31J22	7766783	7804329	CB4856
III	WRMHS22I23	7767803	7807487	CB4856
III	WRMHS18J03	7774705	7813629	CB4856
III	WRMHS23F24	7781111	7813069	CB4856
III	WRMHS21L23	7787108	7822407	CB4856
III	WRMHS19G19	7791725	7819811	CB4856
III	WRMHS31N01	7795616	7833356	CB4856
III	WRMHS39I11	7797107	7838867	CB4856
III	WRMHS15D11	7797768	7831358	CB4856
III	WRMHS1L22	7815305	7852037	CB4856
III	WRMHS13K08	7822602	7863473	CB4856
III	WRMHS3L21	7833817	7868056	CB4856
III	WRMHS12L10	7858926	7893448	CB4856
III	WRMHS31M09	7862223	7897462	CB4856
III	WRMHS38I03	7862545	7891885	CB4856
III	WRMHS26I04	7863077	7895561	CB4856
III	WRMHS17K19	7863543	7900112	CB4856
III	WRMHS21G07	7868558	7902655	CB4856
III	WRMHS4E23	7872054	7910515	CB4856
III	WRMHS34B13	7873946	7912204	CB4856
III	WRMHS19H20	7874157	7904635	CB4856
III	WRMHS13A20	7886303	7925253	CB4856
III	WRMHS21O19	7898355	7929315	CB4856
III	WRMHS8O20	7903828	7936365	CB4856
III	WRMHS8A03	7910396	7943531	CB4856
III	WRMHS35N13	7912734	7948318	CB4856
III	WRMHS21G24	7913226	7950980	CB4856
III	WRMHS25G18	7913483	7944792	CB4856
III	WRMHS6N07	7915898	7945810	CB4856
III	WRMHS1N24	7936607	7974491	CB4856
III	WRMHS13H03	7937563	7975758	CB4856
III	WRMHS22A02	7950299	7985281	CB4856
III	WRMHS11E04	7960831	7991240	CB4856
III	WRMHS37E23	7961432	7995595	CB4856
III	WRMHS24B19	7969460	8004965	CB4856
III	WRMHS39B21	7970694	7994217	CB4856
III	WRMHS31P14	7971944	8001296	CB4856
III	WRMHS13F07	7972011	8007344	CB4856
III	WRMHS21J19	7983227	8014440	CB4856
III	WRMHS5H08	7991400	8033672	CB4856
III	WRMHS20H02	7994596	8022696	CB4856
III	WRMHS24B08	7996474	8030999	CB4856
III	WRMHS39I15	7998898	8028880	CB4856
III	WRMHS19P07	8006216	8041864	CB4856
III	WRMHS17L07	8011754	8044810	CB4856
III	WRMHS33B23	8017380	8053840	CB4856
III	WRMHS25G10	8020206	8055659	CB4856
III	WRMHS27A14	8020851	8055817	CB4856
III	WRMHS34A20	8030369	8069066	CB4856
III	WRMHS2E09	8036988	8073496	CB4856
III	WRMHS18K04	8037232	8072496	CB4856
III	WRMHS34F13	8037320	8070873	CB4856
III	WRMHS19F04	8045052	8083367	CB4856
III	WRMHS22K08	8057077	8090584	CB4856
III	WRMHS1D01	8058072	8091261	CB4856
III	WRMHS12I08	8058083	8095558	CB4856
III	WRMHS23G10	8058627	8095858	CB4856
III	WRMHS38I11	8061800	8099912	CB4856
III	WRMHS10J10	8067260	8104487	CB4856
III	WRMHS5L01	8071936	8109227	CB4856
III	WRMHS2P19	8093346	8126153	CB4856
III	WRMHS16A18	8117836	8149853	CB4856
III	WRMHS27A04	8122987	8157213	CB4856
III	WRMHS25D24	8127782	8161136	CB4856
III	WRMHS11H09	8132382	8162454	CB4856
III	WRMHS16H14	8137706	8169629	CB4856
III	WRMHS20E03	8145813	8180750	CB4856
III	WRMHS6C06	8150382	8185064	CB4856
III	WRMHS22K12	8150704	8186964	CB4856
III	WRMHS32C17	8150999	8188111	CB4856
III	WRMHS3F06	8154787	8187107	CB4856
III	WRMHS25M15	8158430	8196078	CB4856
III	WRMHS21H05	8163885	8204739	CB4856
III	WRMHS14A21	8164883	8196651	CB4856
III	WRMHS17C06	8176570	8211677	CB4856
III	WRMHS32E03	8180656	8215890	CB4856
III	WRMHS12K19	8181494	8208577	CB4856
III	WRMHS40G22	8184751	8223198	CB4856
III	WRMHS38G23	8203982	8237132	CB4856
III	WRMHS33P19	8207012	8240728	CB4856
III	WRMHS24B01	8213824	8245952	CB4856
III	WRMHS40H21	8223913	8256660	CB4856
III	WRMHS11D18	8224449	8264670	CB4856
III	WRMHS6D12	8232479	8266223	CB4856
III	WRMHS10O12	8239417	8269275	CB4856
III	WRMHS25L23	8239589	8280970	CB4856
III	WRMHS37M09	8239735	8275170	CB4856
III	WRMHS32D13	8241551	8278028	CB4856
III	WRMHS20J15	8241985	8275970	CB4856
III	WRMHS38F07	8243244	8272993	CB4856
III	WRMHS8O12	8245875	8279433	CB4856
III	WRMHS8C14	8249145	8287253	CB4856
III	WRMHS6I16	8249389	8285794	CB4856
III	WRMHS33J15	8252104	8289403	CB4856
III	WRMHS9E24	8261477	8294080	CB4856
III	WRMHS31O22	8279863	8313523	CB4856
III	WRMHS20H13	8284542	8318119	CB4856
III	WRMHS36L18	8318253	8343525	CB4856
III	WRMHS10N11	8338175	8370402	CB4856
III	WRMHS22D04	8338476	8363800	CB4856
III	WRMHS25D06	8339357	8363678	CB4856
III	WRMHS9G07	8340164	8359830	CB4856
III	WRMHS20D23	8342773	8384043	CB4856
III	WRMHS19B17	8343025	8376501	CB4856
III	WRMHS14F02	8343638	8368548	CB4856
III	WRMHS8A21	8358517	8389159	CB4856
III	WRMHS32N24	8361401	8394653	CB4856
III	WRMHS22P23	8367032	8396203	CB4856
III	WRMHS31N23	8373467	8397886	CB4856
III	WRMHS32N19	8374008	8410342	CB4856
III	WRMHS35C08	8375995	8401794	CB4856
III	WRMHS32A17	8380603	8420626	CB4856
III	WRMHS15D03	8385759	8420281	CB4856
III	WRMHS31A03	8387830	8420942	CB4856
III	WRMHS32I13	8391511	8423372	CB4856
III	WRMHS37H10	8410592	8450346	CB4856
III	WRMHS34P10	8425930	8459276	CB4856
III	WRMHS22N02	8428383	8470448	CB4856
III	WRMHS8D13	8439215	8470774	CB4856
III	WRMHS40G13	8444605	8483572	CB4856
III	WRMHS2F16	8444703	8482187	CB4856
III	WRMHS13L18	8446470	8480148	CB4856
III	WRMHS27M01	8447631	8481734	CB4856
III	WRMHS9D06	8458522	8489710	CB4856
III	WRMHS37P14	8465978	8498728	CB4856
III	WRMHS38B11	8465984	8506449	CB4856
III	WRMHS39M17	8465984	8506449	CB4856
III	WRMHS9H12	8477401	8510994	CB4856
III	WRMHS20M01	8484008	8523235	CB4856
III	WRMHS7P08	8491132	8526790	CB4856
III	WRMHS17E09	8492046	8530956	CB4856
III	WRMHS7E17	8494355	8524714	CB4856
III	WRMHS23I10	8494433	8530367	CB4856
III	WRMHS6M18	8502555	8539613	CB4856
III	WRMHS8O14	8509713	8539654	CB4856
III	WRMHS32L03	8513049	8546721	CB4856
III	WRMHS8K04	8514789	8546885	CB4856
III	WRMHS36M20	8515865	8553357	CB4856
III	WRMHS4G03	8524727	8557951	CB4856
III	WRMHS23M17	8526073	8561712	CB4856
III	WRMHS18K15	8526955	8558393	CB4856
III	WRMHS35N02	8539116	8574435	CB4856
III	WRMHS37C01	8548282	8585038	CB4856
III	WRMHS38P08	8552919	8593097	CB4856
III	WRMHS8L02	8579522	8615860	CB4856
III	WRMHS31J03	8582263	8622741	CB4856
III	WRMHS11G07	8584198	8616634	CB4856
III	WRMHS33N06	8585755	8624905	CB4856
III	WRMHS34F05	8603964	8634817	CB4856
III	WRMHS7J14	8607215	8637147	CB4856
III	WRMHS19C01	8626860	8657743	CB4856
III	WRMHS31A15	8627230	8657996	CB4856
III	WRMHS7F16	8629102	8665078	CB4856
III	WRMHS24M20	8635120	8669859	CB4856
III	WRMHS23H19	8637114	8663974	CB4856
III	WRMHS20H01	8637126	8663974	CB4856
III	WRMHS32G13	8637309	8678468	CB4856
III	WRMHS22C01	8638335	8674896	CB4856
III	WRMHS33A01	8677168	8715825	CB4856
III	WRMHS22E02	8683048	8721542	CB4856
III	WRMHS11H10	8684694	8723406	CB4856
III	WRMHS34H16	8701873	8742331	CB4856
III	WRMHS38F20	8708448	8738790	CB4856
III	WRMHS23D17	8708738	8741256	CB4856
III	WRMHS7K06	8715991	8753372	CB4856
III	WRMHS34K12	8724034	8759099	CB4856
III	WRMHS20D14	8732809	8772185	CB4856
III	WRMHS26M03	8748151	8785948	CB4856
III	WRMHS10P24	8768319	8803646	CB4856
III	WRMHS26A09	8807782	8842204	CB4856
III	WRMHS15F24	8822614	8864901	CB4856
III	WRMHS5G10	8832996	8872994	CB4856
III	WRMHS33K21	8844504	8894563	CB4856
III	WRMHS27O11	8864600	8900862	CB4856
III	WRMHS24J17	8870660	8907028	CB4856
III	WRMHS25J04	8877612	8909256	CB4856
III	WRMHS36H20	8887243	8925595	CB4856
III	WRMHS13J14	8901936	8935380	CB4856
III	WRMHS12K12	8902095	8933227	CB4856
III	WRMHS10H19	8917280	8953802	CB4856
III	WRMHS15B17	8919464	8959327	CB4856
III	WRMHS17M17	8933707	8968099	CB4856
III	WRMHS25F11	8934539	8968233	CB4856
III	WRMHS39D01	8937434	8975517	CB4856
III	WRMHS24H20	8951499	8987095	CB4856
III	WRMHS20H23	8956107	8994318	CB4856
III	WRMHS13G16	8969644	8998849	CB4856
III	WRMHS30J21	8972787	9004864	CB4856
