Chromosome	Clone	Start	End
II	WRM0630aH08	4743385	4774847
II	WRM0610bG10	4746803	4780840
II	WRM0621bD05	4749825	4787667
II	WRM0611aA04	4754956	4789744
II	WRM0638aF01	4761693	4796501
II	WRM0629dH05	4764594	4800313
II	WRM0613bD02	4769414	4803939
II	WRM0636dE06	4774986	4809408
II	WRM0618bD04	4776930	4813741
II	WRM0614aF09	4792708	4826145
II	WRM0629aG10	4793532	4830240
II	WRM0619bB05	4794126	4827759
II	WRM0620cF07	4794689	4831905
II	WRM0610dE09	4799059	4836216
II	WRM0640cD01	4801275	4834831
II	WRM066cB08	4801343	4841575
II	WRM0641aF03	4808434	4843412
II	WRM0619aB04	4825648	4862584
II	WRM0628bE03	4831808	4864111
II	WRM0624cB05	4835351	4871845
II	WRM0641dD09	4837401	4873115
II	WRM0631cF01	4851796	4888302
II	WRM064dG12	4857229	4899718
II	WRM0633aB07	4858376	4897484
II	WRM0625dB03	4862401	4900748
II	WRM0620aA03	4864327	4902964
II	WRM0634dE02	4865452	4904688
II	WRM0611bG10	4866080	4900543
II	WRM0613aF09	4866347	4901271
II	WRM066dH08	4873500	4908308
II	WRM0612dC04	4876015	4912555
II	WRM066dE09	4878905	4912835
II	WRM0614aE10	4887656	4918288
II	WRM0613dC06	4891344	4919372
II	WRM0641aD04	4898156	4929932
II	WRM0610aA05	4905085	4939514
II	WRM0610dC01	4913399	4944870
II	WRM064aB03	4914689	4945395
II	WRM067dD04	4916468	4950053
II	WRM0632bD10	4919255	4951793
II	WRM0640dG08	4920179	4960240
II	WRM0623dD10	4921882	4949817
II	WRM0629bG07	4923325	4955380
II	WRM0630dB12	4923830	4962093
II	WRM0618aF12	4933650	4964555
II	WRM0611cA07	4934285	4971194
II	WRM0611cD11	4936787	4970957
II	WRM062aD06	4939889	4972692
II	WRM0611dH01	4944865	4979531
II	WRM0616cB06	4946633	4973423
II	WRM0617dH04	4948583	4983713
II	WRM0632bA09	4949771	4985290
II	WRM0611aE08	4950949	4978845
II	WRM062cD12	4951411	4984869
II	WRM0621bH09	4978516	5015664
II	WRM0635bH12	4979047	5017485
II	WRM0638bD12	4982580	5019546
II	WRM0638aC05	4987084	5025088
II	WRM065cF12	4989625	5021837
II	WRM062dD05	4990397	5024159
II	WRM068cD08	4994235	5026321
II	WRM0617aD11	4996877	5035294
II	WRM064bC05	4998955	5033016
II	WRM061dB05	5000492	5036369
II	WRM0615bE08	5003341	5037774
II	WRM0614cF03	5004069	5041486
II	WRM066aC03	5004795	5040172
II	WRM0638cE05	5005267	5035115
II	WRM0631dE03	5006533	5041679
II	WRM0632bB03	5008374	5039471
II	WRM0634dD04	5012824	5049488
II	WRM066cG07	5016882	5050229
II	WRM0639aF08	5035936	5071976
II	WRM0614cC05	5039060	5074471
II	WRM0620bG10	5050595	5084706
II	WRM0628bG12	5050820	5091066
II	WRM0635dG07	5056431	5093462
II	WRM0619dG02	5058804	5091294
II	WRM0637aF09	5074056	5104633
II	WRM0617aF05	5077141	5109423
II	WRM0640dC05	5078324	5108077
II	WRM0619cA05	5086997	5114088
II	WRM0616dA04	5094392	5126417
II	WRM0621bD01	5095909	5128370
II	WRM0627aE10	5096053	5126267
II	WRM068aD06	5097179	5131291
II	WRM0623bH01	5100824	5135683
II	WRM0619dB08	5105521	5139196
II	WRM0613dB07	5109768	5146760
II	WRM0624aH11	5112414	5143549
II	WRM0619aG04	5119968	5146673
II	WRM062dF10	5125598	5146664
II	WRM0631bF10	5132459	5152997
II	WRM0617aE01	5145279	5163079
II	WRM0613cG08	5145306	5162761
II	WRM0632aA03	5145378	5184629
II	WRM0620aD01	5145399	5177663
II	WRM0611bD12	5145504	5186454
II	WRM0636bF02	5145590	5172239
II	WRM0634dH12	5145704	5179479
II	WRM0624bF01	5145841	5175540
II	WRM0629bH06	5145874	5180331
II	WRM0625bH09	5145952	5162356
II	WRM0617aE08	5146002	5175922
II	WRM0620bH06	5168505	5211558
II	WRM0610aG10	5170190	5201857
II	WRM0635aE02	5172987	5205029
II	WRM063aB03	5175612	5209051
II	WRM0624cA02	5178302	5206006
II	WRM0625aA10	5181352	5216041
II	WRM0639cF02	5187404	5222337
II	WRM064aA07	5191255	5224161
II	WRM0615aG03	5202702	5235397
II	WRM0618bH03	5203678	5244729
II	WRM0626bB12	5221521	5260941
II	WRM0630bE03	5229197	5266511
II	WRM064cB02	5235535	5272414
II	WRM066aF03	5285249	5320379
II	WRM0630aD06	5288778	5322300
II	WRM0640bD06	5298075	5328684
II	WRM0638cE03	5309483	5340692
II	WRM0636cB12	5309548	5340243
II	WRM0635aG04	5310357	5342903
II	WRM0626bB07	5313553	5350378
II	WRM0634aA09	5322945	5357632
II	WRM0620aB07	5323997	5363352
II	WRM0638bD11	5334531	5369422
II	WRM0633cG05	5334724	5375088
II	WRM0628cF01	5350411	5383850
II	WRM0639dF02	5351694	5387344
II	WRM0616dA06	5352754	5387391
II	WRM069dD11	5352970	5393534
II	WRM0633cC05	5355904	5390667
II	WRM0624cF09	5367423	5403708
II	WRM0628aE09	5371605	5403402
II	WRM0625cF04	5378656	5414604
II	WRM0623bF11	5380095	5414078
II	WRM0626dA08	5403942	5440962
II	WRM066dB09	5423260	5461088
II	WRM0612dE12	5439530	5474605
II	WRM0625dA02	5447452	5481850
II	WRM0613dC11	5449522	5484422
II	WRM0630aA12	5452118	5490490
II	WRM0630cG06	5457267	5489913
II	WRM0629aA05	5457811	5490146
II	WRM0614bE03	5458765	5487130
II	WRM0623dG07	5462796	5494303
II	WRM061dC03	5469456	5503569
II	WRM0635bG12	5474938	5506683
II	WRM0631aB03	5498001	5533581
II	WRM0638dC06	5506070	5542690
II	WRM068bE01	5507961	5545046
II	WRM0628dC06	5508654	5541209
II	WRM0612cE05	5514036	5546600
II	WRM0611dA11	5514151	5549728
II	WRM0619dE06	5514432	5550238
II	WRM0627bA04	5516173	5547535
II	WRM064bB11	5529849	5568991
II	WRM0618dD07	5551351	5582079
II	WRM0631bA08	5553904	5588406
II	WRM0620dD10	5555753	5583845
II	WRM0634bD03	5563423	5595603
II	WRM0635aD03	5569679	5605724
II	WRM0641bA09	5576661	5610025
II	WRM0625dC07	5577434	5614144
II	WRM0617cF06	5583584	5611274
II	WRM0620bH08	5584620	5619118
II	WRM0623aB08	5588142	5621741
II	WRM0625aG06	5594439	5627589
II	WRM0617cG06	5597589	5631073
II	WRM0620dG08	5604379	5633964
II	WRM0622cD10	5608435	5640848
II	WRM0627bF08	5611183	5642911
II	WRM0610dH02	5617182	5651826
II	WRM063aB04	5618795	5652165
II	WRM0611bA01	5620703	5656691
II	WRM068cE02	5627406	5665553
II	WRM0610bD09	5629001	5664111
II	WRM0618cF02	5630160	5652093
II	WRM0622cF10	5631677	5656692
II	WRM0630dF09	5635419	5666167
II	WRM0629bD10	5638834	5673412
II	WRM0631cG08	5639139	5671912
II	WRM0632aA08	5642280	5675897
II	WRM0625aH09	5651669	5685094
II	WRM0618dF03	5656346	5689942
II	WRM0610aH06	5659816	5688322
II	WRM0619bB08	5661372	5699086
II	WRM0619cH07	5661825	5698824
II	WRM0637bH07	5664357	5707485
II	WRM0634dH04	5664648	5697448
II	WRM0613aG02	5672959	5709269
II	WRM066dG08	5674024	5708356
II	WRM0615dC06	5684422	5717945
II	WRM0614dD08	5689889	5723431
II	WRM0634dC12	5690989	5722415
II	WRM061cG11	5693125	5723968
II	WRM0636dH02	5707286	5741645
II	WRM0638dB03	5709620	5743643
II	WRM0627dH07	5716308	5755028
II	WRM0639cA03	5734035	5768578
II	WRM0634cF07	5740130	5774316
II	WRM0612bF07	5741293	5768875
II	WRM067aH11	5746530	5777791
II	WRM0611aA03	5755251	5786462
II	WRM0621cF01	5760557	5794085
II	WRM0634aD05	5761830	5795353
II	WRM0615cA08	5765147	5802263
II	WRM0634aG06	5779767	5815674
II	WRM0610aC07	5795395	5831056
II	WRM0637bG12	5796017	5834796
II	WRM0621aG07	5798813	5839964
II	WRM065bH11	5809261	5841485
II	WRM0631dD09	5809383	5843556
II	WRM0625bD11	5811738	5851898
II	WRM0625dA06	5817631	5854451
II	WRM061cH02	5820477	5855202
II	WRM0613aC04	5829004	5865727
II	WRM061aC09	5830432	5864275
II	WRM0619cE01	5837442	5869751
II	WRM0627dH01	5863709	5899446
II	WRM063aG02	5875987	5910385
II	WRM0627dG02	5876504	5915543
II	WRM0625aG09	5877013	5915211
II	WRM0616bF09	5879962	5915324
II	WRM0634bE09	5884496	5917601
II	WRM0625bH02	5885665	5917704
II	WRM0616dA09	5886853	5925179
II	WRM0624cA08	5887526	5925348
II	WRM0613aD08	5891088	5925503
II	WRM0610dE11	5893920	5930337
II	WRM0616bH08	5898614	5937831
II	WRM0638dH01	5900214	5938538
II	WRM0622cA07	5904902	5937615
II	WRM0622bG04	5910866	5947668
II	WRM064cG07	5914119	5948497
II	WRM0635bB07	5916515	5956424
II	WRM0632cG02	5918783	5957726
II	WRM062bH12	5919638	5958267
II	WRM0618aH05	5920837	5956995
II	WRM0612bC06	5923947	5951947
II	WRM0634aF08	5929135	5964039
II	WRM0622dH03	5936575	5971220
II	WRM0624cG04	5937647	5969812
II	WRM0614aH11	5955781	5989954
II	WRM0632bD02	5956911	5992524
II	WRM0634dD10	5958483	5988512
II	WRM0628aH10	5958538	5993564
II	WRM0612dB10	5959461	5996628
II	WRM0634aB06	5961458	5997118
II	WRM0627cF01	5965716	6001743
II	WRM0631bC10	5974959	6000985
II	WRM0631dF09	5978937	6013834
II	WRM066bB08	5984975	6023125
II	WRM0632dB05	5986239	6017459
II	WRM068cG09	6004025	6034164
II	WRM0624aF03	6015017	6053321
II	WRM061cD12	6015430	6048358
II	WRM065cE12	6016754	6052576
II	WRM0625dB08	6017025	6053593
II	WRM0637bD09	6020626	6054482
II	WRM0640dF12	6021563	6054413
II	WRM069cG11	6028811	6057937
II	WRM061aE01	6034598	6066764
II	WRM0631dD04	6039821	6074513
II	WRM0636dC10	6040651	6083014
II	WRM0638aH12	6050817	6088511
II	WRM0617aF06	6052216	6081562
II	WRM067aH06	6053648	6090114
II	WRM0626dA02	6053660	6089342
II	WRM0625bB02	6054064	6089953
II	WRM0613aH01	6055383	6089461
II	WRM0636cG08	6056097	6097323
II	WRM066dB01	6057467	6088415
II	WRM0623aG07	6058332	6094978
II	WRM0628bF04	6066373	6102896
II	WRM064bD12	6076233	6116614
II	WRM061bG10	6080894	6113794
II	WRM0631dF01	6081723	6116914
II	WRM0627bD01	6087481	6122483
II	WRM0610bF11	6089754	6122833
II	WRM0612aE12	6090376	6125329
II	WRM0623aB02	6096143	6116899
II	WRM0621dG05	6101949	6141752
II	WRM069bF12	6110154	6143165
II	WRM0610aC03	6114479	6150451
II	WRM0619aH03	6116835	6150785
II	WRM0620bF02	6117336	6151118
II	WRM0610bG09	6122746	6157481
II	WRM0612dD07	6137055	6161351
II	WRM066cE09	6148635	6187368
II	WRM0641bH05	6163774	6198504
II	WRM0633aF12	6169305	6205742
II	WRM0610cE10	6170591	6203115
II	WRM0634cC05	6170775	6204448
II	WRM0630bB04	6184607	6219689
II	WRM0627bF11	6188384	6224315
II	WRM0637bE11	6190908	6225956
II	WRM061bC11	6204342	6239019
II	WRM0636bH04	6211386	6245309
II	WRM069cE08	6214987	6250620
II	WRM0623dE07	6220939	6252568
II	WRM0624bF09	6236270	6270466
II	WRM0615cA09	6238315	6273121
II	WRM0614cA10	6240708	6273716
II	WRM0634bD11	6245145	6279945
II	WRM0636cH12	6246900	6278996
II	WRM0628bC05	6251944	6287016
II	WRM0625cD01	6253335	6289172
II	WRM066cH09	6254031	6283556
II	WRM0615dG11	6256542	6289517
II	WRM0638cF02	6259348	6294070
II	WRM064aE02	6262861	6292518
II	WRM065aE09	6264448	6297942
II	WRM0613aG12	6268600	6297973
II	WRM0626bD10	6269801	6302041
II	WRM0635dH06	6272768	6301880
II	WRM069bB10	6298563	6337880
II	WRM0636aC04	6309354	6340050
II	WRM0632aH03	6309660	6345572
II	WRM0611bE09	6310708	6351666
II	WRM0617aE11	6314243	6350125
II	WRM0615bE03	6319736	6351470
II	WRM068aG10	6338092	6369783
II	WRM0629dA05	6339686	6380777
II	WRM0628aA10	6340692	6378687
II	WRM0614aG08	6347186	6383652
II	WRM0641aE05	6347592	6381295
II	WRM0618dH11	6349939	6387699
II	WRM065aA11	6353922	6385437
II	WRM062dA03	6362011	6395646
II	WRM065cF08	6368140	6407908
II	WRM064bH09	6369808	6405819
II	WRM0617aG04	6374867	6411580
II	WRM067bF04	6385210	6418416
II	WRM062dE06	6405090	6438558
II	WRM0626cA06	6405836	6439757
II	WRM067bB12	6408223	6441793
II	WRM0619cE12	6409032	6441664
II	WRM0625bE06	6409624	6446019
II	WRM067cB01	6421403	6455426
II	WRM062aB05	6422469	6455869
II	WRM066dC11	6425466	6460623
II	WRM065cA10	6431440	6461934
II	WRM0640bF12	6435992	6467241
II	WRM0641aG04	6437102	6469956
II	WRM0636dE01	6438030	6473344
II	WRM0619cH09	6445129	6478812
II	WRM0619bF06	6455039	6491129
II	WRM0614bE08	6458735	6482417
II	WRM0639dB08	6467664	6500923
II	WRM0623aD04	6469609	6502695
II	WRM0638bB09	6469712	6502705
II	WRM066cD11	6471826	6508599
II	WRM065cG02	6472612	6508615
II	WRM0635bD06	6475650	6508097
II	WRM0611dH09	6481420	6507247
II	WRM0614aC01	6482226	6508450
II	WRM0636cE03	6483117	6508714
II	WRM0628aF01	6483504	6508578
II	WRM0616aF04	6483624	6507079
II	WRM0613dH05	6489774	6511292
II	WRM0639bD05	6491087	6511565
II	WRM065dC12	6492139	6514281
II	WRM0640bH07	6497067	6521495
II	WRM067bC02	6500048	6522698
II	WRM0616dB06	6503560	6523585
II	WRM0619dF09	6507561	6532544
II	WRM0617aB04	6519789	6548598
II	WRM0621dH04	6521179	6555095
II	WRM0638bB07	6525014	6561385
II	WRM065cE02	6528553	6560113
II	WRM0622cA11	6538275	6577481
II	WRM0630dH09	6539863	6576043
II	WRM068cB08	6555369	6594059
II	WRM0636cH03	6559379	6593646
II	WRM0631cB07	6562523	6600661
II	WRM061aH02	6571536	6602190
II	WRM0636cD10	6572812	6608218
II	WRM0639aH09	6580306	6617924
II	WRM065bD01	6580316	6613080
II	WRM0623aF04	6582813	6618280
II	WRM0637aA03	6588932	6626989
II	WRM0627cA06	6597079	6630827
II	WRM066cD06	6597678	6631438
II	WRM0621dC02	6601419	6635756
II	WRM0640bE10	6602499	6632962
II	WRM0638dA02	6605135	6642912
II	WRM0629cA11	6605533	6640402
II	WRM0641dA11	6608589	6641668
II	WRM0610aH12	6609530	6641932
II	WRM0617aF11	6617394	6651968
II	WRM069dC10	6617835	6650265
II	WRM0627dB04	6618418	6650958
II	WRM0630dH02	6625434	6657872
II	WRM0632bE01	6627764	6660800
II	WRM0614aF07	6629945	6662519
II	WRM0626aE09	6632663	6666585
II	WRM0628bF03	6634742	6671153
II	WRM0629cB09	6634857	6665287
II	WRM0641aA01	6657687	6697193
II	WRM063aC04	6662393	6691670
II	WRM0635aA03	6669128	6702149
II	WRM0632cE04	6669926	6703688
II	WRM061bF08	6678053	6720656
II	WRM0612cB02	6680984	6716313
II	WRM063bG04	6682017	6716426
II	WRM063cH08	6683532	6716146
II	WRM0619cF10	6684283	6720958
II	WRM067bA05	6684476	6718777
II	WRM068dH01	6686630	6719406
II	WRM065cC11	6694084	6729973
II	WRM0636aD09	6697040	6731067
II	WRM0621bF02	6710994	6745011
II	WRM0639cC09	6713446	6740634
II	WRM067dF11	6715746	6747933
II	WRM0625cA06	6721591	6755990
II	WRM0630bB07	6726158	6762967
II	WRM0624aB10	6729324	6762511
II	WRM0627aA08	6735810	6772011
II	WRM0637bC07	6736547	6770367
II	WRM0634bC09	6737584	6775200
II	WRM0614cD04	6745310	6781430
II	WRM0617dF11	6751788	6787192
II	WRM0615aA04	6752808	6786697
II	WRM067aH09	6760247	6795140
II	WRM0628dG09	6761167	6797817
II	WRM067bC09	6765984	6802533
II	WRM067cC02	6768113	6801659
II	WRM068aF06	6769751	6804717
II	WRM068bE03	6773361	6805910
II	WRM0636cD08	6774160	6812731
II	WRM0617bA03	6778226	6815741
II	WRM0625cD08	6794503	6827087
II	WRM0630cA09	6795332	6830156
II	WRM0622aA05	6797869	6831774
II	WRM0630aA09	6802990	6834244
II	WRM0626dD09	6813394	6847170
II	WRM0613cE11	6814541	6846102
II	WRM0637dC02	6817497	6855764
II	WRM0626dB12	6820850	6856366
II	WRM0638bC09	6822279	6860545
II	WRM0620bE10	6822562	6858221
II	WRM0627aB03	6824289	6866516
II	WRM0615dE03	6837787	6874999
II	WRM0610dF07	6842516	6876478
II	WRM0622dD02	6846509	6881832
II	WRM061dD07	6852554	6884615
II	WRM0633bA01	6866206	6903757
II	WRM0625aA08	6873287	6903019
II	WRM0616cA08	6876128	6911067
II	WRM061bE08	6883146	6916661
II	WRM0631bG06	6886927	6920251
II	WRM0639cE01	6891321	6925990
II	WRM0634bH10	6902111	6940298
II	WRM0635cC04	6903392	6936010
II	WRM0637dA12	6908776	6941592
II	WRM0620bA07	6909385	6942534
II	WRM0631aE12	6915172	6946062
II	WRM0620cG03	6917897	6951704
II	WRM065dF04	6919707	6955329
II	WRM0622cA10	6920420	6954584
II	WRM0618bA11	6926113	6965572
II	WRM0611aD09	6927148	6960600
II	WRM0639aG09	6932225	6966649
II	WRM0618aC01	6932621	6968830
II	WRM0638bC12	6933566	6968747
II	WRM0637cD07	6939941	6970738
II	WRM0625bE07	6956003	6992595
II	WRM061cD05	6959626	6989415
II	WRM069aH05	6961437	6993560
II	WRM0635cG12	6962148	6997880
II	WRM064dB10	6970160	7002908
II	WRM062bA11	6979109	7012432
II	WRM0632aG08	6991820	7026927
II	WRM0622cH07	6999862	7036392
II	WRM0619aC05	7004416	7039650
II	WRM068aG05	7017859	7053739
II	WRM0612bA08	7035326	7071670
II	WRM0632bH04	7040734	7079768
II	WRM0633aD05	7041952	7066919
II	WRM064bH01	7049506	7085281
II	WRM0639dA10	7053289	7084353
II	WRM069bE04	7054055	7084762
II	WRM0624aB07	7057481	7091450
II	WRM0621aF02	7061738	7098619
II	WRM0639bC01	7062654	7092275
II	WRM0639cD05	7066088	7100601
II	WRM0639dH03	7066576	7106614
II	WRM0614cA05	7068219	7100754
II	WRM0615dB06	7069948	7109773
II	WRM0632cH09	7072770	7106640
II	WRM0635bB04	7082875	7116448
II	WRM0631dF06	7083946	7119659
II	WRM0611bE05	7089072	7122136
II	WRM063aD08	7089331	7125838
II	WRM0620aD03	7092261	7125433
II	WRM0613cA07	7092841	7127448
II	WRM062cE11	7094500	7125529
II	WRM0615cB05	7094791	7126441
II	WRM0638cH08	7103202	7133035
II	WRM0638dB09	7118609	7150851
II	WRM0627bB11	7129425	7157154
II	WRM0613aH12	7136203	7173186
II	WRM0615dG04	7139473	7181967
II	WRM066cH10	7149277	7184720
II	WRM0625cC05	7150747	7184898
II	WRM061cE04	7154862	7187592
II	WRM0634bE03	7167242	7199118
II	WRM067aD05	7167360	7203372
II	WRM0612bC08	7170591	7201026
II	WRM0637bH06	7170621	7206541
II	WRM0623cG05	7191773	7227701
II	WRM0622dG09	7204247	7240281
II	WRM062dG07	7206774	7246650
II	WRM0612aD08	7207927	7245830
II	WRM0616aC12	7214355	7245084
II	WRM062dB06	7232566	7259497
II	WRM0616cA07	7249966	7287451
II	WRM0611aB05	7256531	7293901
II	WRM0614cC10	7259381	7293080
II	WRM0620cE08	7268063	7303635
II	WRM0639bH09	7277675	7317919
II	WRM061dG02	7278480	7308233
II	WRM069bD08	7287059	7318027
II	WRM0622bC04	7291205	7326774
II	WRM0612cE10	7292769	7329282
II	WRM0638bD07	7292820	7329505
II	WRM0621dD12	7296069	7332139
II	WRM0630aE05	7298030	7332194
II	WRM0619bF09	7324997	7361552
II	WRM0640cB08	7325541	7358043
II	WRM0629dE06	7326947	7362960
II	WRM0621dE11	7327893	7364136
II	WRM0611aA12	7342242	7380227
II	WRM0612bC11	7346587	7375503
II	WRM0636bC02	7374278	7408083
II	WRM061bE07	7377003	7412205
II	WRM0613dE03	7390795	7423043
II	WRM0610cE11	7395842	7427562
II	WRM0639aD06	7397651	7430012
II	WRM0610bG11	7400861	7435243
II	WRM0622bA05	7404022	7437857
II	WRM0637bH12	7407635	7441238
II	WRM0635bG06	7451918	7485261
II	WRM0636cB07	7456405	7487752
II	WRM0629bF07	7456694	7491521
II	WRM0636aC11	7456863	7490359
II	WRM0613dH09	7481631	7513332
II	WRM0633aE12	7486772	7523255
II	WRM0621bG05	7488957	7526294
II	WRM0619cF06	7490200	7525539
II	WRM0640aD07	7498202	7532688
II	WRM0610aE04	7499794	7530633
II	WRM067dB07	7509384	7544063
II	WRM069aA12	7509498	7541821
II	WRM066dF01	7514298	7548364
II	WRM0613dD08	7515537	7553838
II	WRM064dC01	7528725	7563052
II	WRM0624bG05	7529933	7560633
II	WRM0628dD09	7532303	7569291
II	WRM0636bA08	7536988	7569526
II	WRM0630dH03	7551822	7586219
II	WRM0624aC02	7552257	7583730
II	WRM0625bE12	7555585	7592401
II	WRM0634aG09	7558659	7595278
II	WRM0619dB06	7571493	7603529
II	WRM0611bA11	7574126	7610558
II	WRM062dC12	7575043	7608920
II	WRM0620cD02	7578664	7610523
II	WRM0620dG07	7585688	7615578
II	WRM0637cG12	7585922	7618177
II	WRM0615dF09	7587688	7625084
II	WRM0616bC01	7591125	7625080
II	WRM0610aC01	7595435	7631603
II	WRM069cE02	7595581	7629764
II	WRM0625bA11	7595682	7637276
II	WRM0613cE06	7598549	7637696
II	WRM0641dD12	7601895	7637520
II	WRM0620aE11	7602809	7633103
II	WRM0612bG08	7605783	7644910
II	WRM0620cD06	7609456	7645954
II	WRM062dF04	7626571	7657197
II	WRM0615aE04	7630280	7660589
II	WRM0610bH07	7634280	7670541
II	WRM0622cF04	7637424	7663733
II	WRM0626bD01	7648802	7682751
II	WRM0613dD03	7651449	7678135
II	WRM0611cF09	7654942	7688135
II	WRM0632cA06	7657855	7692022
II	WRM0613cA01	7672249	7703466
II	WRM0619cA12	7674717	7710182
II	WRM0637cB02	7674771	7714436
II	WRM0614dG10	7677467	7710092
II	WRM0641cH12	7680480	7723342
II	WRM0612aB06	7688069	7721010
II	WRM0615aD07	7697913	7730862
II	WRM068aC03	7698236	7730444
II	WRM061bE06	7698801	7731991
II	WRM0611bC11	7708499	7751974
II	WRM0621bB06	7708573	7748460
II	WRM068cE06	7717854	7754871
II	WRM0618aC11	7727828	7764837
II	WRM063dD06	7730840	7768528
II	WRM0626bD02	7737566	7773353
II	WRM0641aA03	7738923	7772955
II	WRM0618aB08	7742621	7774765
II	WRM068cC06	7743066	7782069
II	WRM0631aG05	7744622	7776167
II	WRM0627cG01	7752895	7788439
II	WRM067aG10	7754100	7786890
II	WRM0619cE06	7762548	7794743
II	WRM0628cB08	7777501	7811302
II	WRM0626dE11	7777615	7812872
II	WRM064aF06	7781220	7811664
II	WRM0626bF02	7788378	7825558
II	WRM0611cH10	7797293	7828785
II	WRM0626cG05	7804971	7839503
II	WRM0638cH02	7805185	7843867
II	WRM0641cC02	7815903	7850320
II	WRM0615dA05	7828293	7864209
II	WRM0613aH06	7833874	7868817
II	WRM0640aC07	7838223	7872394
II	WRM0621cG05	7847611	7882169
II	WRM0635aB03	7856387	7889894
II	WRM0620aH01	7858932	7892009
II	WRM062bA04	7862170	7896869
II	WRM0641bF08	7862472	7898729
II	WRM0636cB08	7868261	7900755
II	WRM0627aG05	7871572	7905146
II	WRM0632aA10	7877694	7909850
II	WRM067cH05	7877861	7913180
II	WRM0624dC01	7881108	7916618
II	WRM0610bB08	7896389	7932380
II	WRM0637dB04	7897333	7930765
II	WRM0634dC04	7908631	7946630
II	WRM0612aC07	7920611	7951994
II	WRM0626cH08	7929665	7964120
II	WRM0640dB02	7930208	7962376
II	WRM0616cH06	7931742	7963105
II	WRM0632bD08	7942709	7977589
II	WRM0621aB10	7951810	7987037
II	WRM0626dG03	7953059	7989285
II	WRM0634cC01	7953217	7987826
II	WRM0624bA04	7969210	8005341
II	WRM0621aF08	7970729	8003656
II	WRM0630aA02	7978008	8011232
II	WRM0631dF08	7983609	8020362
II	WRM0619dG12	7986431	8021286
II	WRM0639bB09	7987271	8018527
II	WRM065bF08	7992623	8032743
II	WRM0618aH10	7998914	8033850
II	WRM062aC03	7999965	8040869
II	WRM0610aG03	8004727	8038175
II	WRM0619dA12	8005374	8037435
II	WRM0625aF07	8009030	8044416
II	WRM067aB06	8011335	8043395
II	WRM0639cD12	8018096	8052557
II	WRM0611bG01	8029224	8064619
II	WRM064bF07	8029631	8059350
II	WRM0632aH04	8034217	8070321
II	WRM0639cB06	8037360	8070842
II	WRM065dE02	8039516	8072942
II	WRM0632cC09	8041012	8080037
II	WRM0621dE05	8048495	8084196
II	WRM0613cE02	8050552	8084934
II	WRM067dG10	8059347	8092735
II	WRM0614dB10	8059560	8093162
II	WRM0618bH11	8063491	8100325
II	WRM066aB07	8075115	8109633
II	WRM0633aF06	8092951	8124116
II	WRM0631bG07	8097765	8129589
II	WRM064bC12	8106928	8143093
II	WRM0617bD04	8111221	8146718
II	WRM0634dA03	8116101	8154778
II	WRM0628cE09	8118506	8153699
II	WRM061bG03	8119770	8153317
II	WRM067aF12	8121233	8151276
II	WRM0637bC10	8122687	8156409
II	WRM0615dD07	8124107	8161135
II	WRM0641aG11	8126490	8160008
II	WRM0632bG04	8127785	8163737
II	WRM0610dG11	8127888	8162111
II	WRM0613aC03	8133268	8165887
II	WRM062dC03	8140400	8169943
II	WRM0627dC10	8145236	8178977
II	WRM0621bB01	8147941	8184128
II	WRM0611cA04	8150379	8180270
II	WRM0628cA03	8151286	8184389
II	WRM065bH12	8152902	8184072
II	WRM0624cC04	8158561	8198599
II	WRM063cG11	8160249	8192491
II	WRM0614cC03	8167677	8203454
II	WRM0622aH05	8170335	8201305
II	WRM062bA02	8182112	8215994
II	WRM0611aD02	8191030	8224363
II	WRM0640cF05	8192858	8226943
II	WRM0634dE07	8193857	8228686
II	WRM063dC02	8205822	8236444
II	WRM0610dG03	8206674	8242036
II	WRM0631aA02	8212017	8244128
II	WRM0627bB08	8216169	8249675
II	WRM0627dA06	8219462	8252185
II	WRM0636cH10	8228472	8266515
II	WRM0627cF11	8228504	8268132
II	WRM0630dE06	8228743	8265177
II	WRM0618dD02	8235504	8270718
II	WRM0641bG04	8240666	8276500
II	WRM0616dB03	8242265	8275531
II	WRM0614aF08	8247638	8291872
II	WRM0627cB10	8249963	8286264
II	WRM0632bG11	8252963	8291199
II	WRM0621dD11	8253794	8291705
II	WRM0629cC06	8254936	8286491
II	WRM0634dB04	8256445	8291010
II	WRM0619bF12	8258547	8289425
II	WRM067bE01	8259688	8290506
II	WRM0639dG09	8264021	8290865
II	WRM0624bG11	8270712	8292031
II	WRM0631cB08	8272541	8290165
II	WRM063dG12	8273409	8290481
II	WRM0612dD10	8273450	8290687
II	WRM0625bG03	8273896	8291619
II	WRM0615aG04	8273906	8290424
II	WRM065cC06	8274105	8289702
II	WRM0611aF11	8289143	8325262
II	WRM0636aB11	8289470	8319269
II	WRM0610aA04	8289863	8309577
II	WRM0640dC10	8294608	8327543
II	WRM0627bA01	8296613	8326407
II	WRM062bF01	8300871	8334837
II	WRM066cE01	8307206	8343408
II	WRM0619dB03	8314023	8345000
II	WRM0625cA02	8319600	8355324
II	WRM0618aG05	8320012	8353355
II	WRM0611dF04	8320282	8353292
II	WRM0630cC01	8323200	8362619
II	WRM0636bC10	8323804	8358251
II	WRM0637dB05	8330550	8361922
II	WRM0633dG05	8341572	8379542
II	WRM0610dA12	8341717	8371532
II	WRM0626bH09	8341873	8376325
II	WRM0619bF02	8346530	8381159
